|1: English|2: French|3. German|4. Spanish|5. Italian
SWITCH_SPELL|Сменить заклинание|Сменить заклинание|||
BLOCK|Блок|Блок|||
MAP|Карта|Карта|||
AIRSHIP_1|Воздушный корабль 1|Воздушный корабль 1|||
RECENTER_CAMERA|Центрировать камеру|Центрировать камеру|||
BOOST|Ускорение|Ускорение|||
EXIT|Выход|Выход|||
AIRSHIP_2|Воздушный корабль 2|Воздушный корабль 2|||
ASCEND|Подняться|Подняться|||
DESCEND|Спуститься|Спуститься|||
TILTUP|Наклон вверх|Наклон вверх|||
TILTDOWN|Наклон вниз|Наклон вниз|||
REVERSE|Реверс|Реверс|||
MENU|Меню|Меню|||
DIFFICULTY|Уровень сложности|Уровень сложности|||
DIFFICULTY_WARNING|Этот параметр постоянный и не может быть изменен во время игры.|Этот параметр постоянный и не может быть изменен во время игры.|||
NORMAL_MODE|Обычный режим|Обычный режим|||
NORMAL_MODE_SHORT|NORMAL|NORMAL|||
HARD_MODE|Сложный режим|Сложный режим|||
HARD_MODE_SHORT|HARD|HARD|||
CHARACTER_CREATE|Создание персонажа|Создать себя|||
YOUR_PAST|Ваше прошлое|Эхо прошлого|||
PAGE_LEFT|Страница влево|Страница влево|||
PAGE_RIGHT|Страница вправо|Страница вправо|||
CONFIRM_SURE|Вы уверены?|Вы в замешательстве?|||
CONFIRM_TITLE|Вернуться к начальному экрану?|Вернуться к верхним адам?|||
CONFIRM_RESET|Сбросить управление на стандартное?|Оплакать все шепоты?|||
CONFIRM_RESOLUTION|Сохранить это разрешение? Вернется через 5 секунд.|Тебе нормально видно, приятель?|||
CONFIRM_QUIT|Выйти из игры?|Полностью отчаяться?|||
CONFIRM_ERASE_ONE|Удалить данные в слоте один?|Удалить данные в слоте 546335?|||
CONFIRM_ERASE_TWO|Удалить данные в слоте два?|Удалить данные в слоте 54?|||
CONFIRM_ERASE_THREE|Удалить данные в слоте три?|Удалить данные в слоте 4354?|||
CONFIRM_BUY|Купить за|Украсть за|||
CONFIRM_SELL|Продать за|Отказаться за|||
CONFIRM_BUY_MULTI|Купить количество за|Купить количество за|||
CONFIRM_SELL_MULTI|Продать количество за|Продать количество за|||
CONFIRM_UPGRADE|Улучшить до|Эволюционировать в|||
CONFIRM_USE_ITEM|Использовать этот предмет?|Экипировать этот предмет?|||
CONFIRM_EQUIP_ITEM|Экипировать этот предмет?|Использовать этот предмет?|||
INVENTORY|Инвентарь|Смертные владения|||
EQUIPMENT|Экипировка|Обременения|||
USEABLES|Используемое|Предметы взаимодействия|||
ITEMS_SPELLS|Предметы и заклинания|Предметы и заклинания|||
SPELLS|Заклинания|Заклинания|||
CHARACTER|Персонаж|Мучения|||
EMPTY_SLOT|Пустой слот|Деменция|||
CORRUPT_DATA|ПОВРЕЖДЕННЫЕ ДАННЫЕ|ПОВРЕЖДЁННЫЕ ДАННЫЕ|||
CORRUPT_DATA_NOTE|Эти данные повреждены. Вы должны удалить их. Пожалуйста, свяжитесь с разработчиками для получения дополнительной информации.|Эти данные повреждены. Вы должны удалить их. Пожалуйста, свяжитесь с разработчиками для получения дополнительной информации.|||
SAVE|Сохранить|Память|||
SLOT|Слот|Мерцание|||
ONE|Один|Один|||
TWO|Два|Два|||
THREE|Три|Три|||
SLOT_ONE|Слот 1|Слот 1|||
SLOT_TWO|Слот 2|Слот 2|||
SLOT_THREE|Слот 3|Слот 3|||
ATTRIBUTE|Атрибут|Атрибут|||
DELUSIONS|Заблуждения|Заблуждения|||
MIGHT|Мощь|Мощь|||
GUILE|Хитрость|Хитрость|||
WISDOM|Мудрость|Мудрость|||
PERSONA|Личность|Личность|||
HEALTH|Здоровье|Здоровье|||
MANA|Мана|Мана|||
STAMINA|Выносливость|Выносливость|||
REGEN|Регенерация|Регенерация|||
ATTACK|Атака|Атака|||
LOCKPICK|Взлом|Взлом|||
LORE|Знание|Знание|||
CHARM|Обаяние|Обаяние|||
DEFENCE|Защита|Защита|||
AGILITY|Ловкость|Ловкость|||
SPELLCAST|Заклинания|Заклинания|||
BARTER|Торг|Торг|||
DAMAGE|Урон|Урон|||
ARMOUR|Броня|Броня|||
DAM_1|Урон один|Урон один|||
DAM_2|Урон два|Урон два|||
POOR|Плохой|Плохой|||
COMMON|Обычный|Обычный|||
FINE|Хороший|Хороший|||
SHROOMWEAVE|Гриботкань|Гриботкань|||
CLOCKWORK|Механизм|Механизм|||
VOIDSTEEL|Сталь Пустоты|Сталь Пустоты|||
GLIMMERS|Мерцания|Мерцания|||
GLIM_NEEDED|Мерцания нужны:|Мерцания нужны:|||
CHARM_DIALOGUE|[Обаяние]|[Обман]|||
CHARM_SUCCESS|[Успех]|[Успех]|||
CHARM_FAIL|[Провал]|[Провал]|||
NEED|Нужно|Нужно|||
USE|Использовать|Использовать|||
SAVING|Сохранение...|Сохранение...|||
CREDITS|Титры|Титры|||
MSG_REST_MUGGED_T|Ограблен||||
MSG_REST_MUGGED|Вы просыпаетесь в оцепенении и замечаете, что что-то не так. Да, нет сомнений; кто-то был здесь, пока вы спали. ##К счастью, большая часть вашего снаряжения была хорошо спрятана, но воры украли немного монет.||||
MSG_REST_ENEMY_T|Не один||||
MSG_REST_ENEMY|Резкий шум будит вас. В оцепенении вы открываете глаза; но вы не одиноки в этом месте.||||
MAP_NOCHARTS|Вы не нашли никаких карт.||||
HOUSE_UNBUILT|Не построено||||
HOUSE_UNFURNISHED|Не обставлено||||
HOUSE_CONTRUCTING|Строится||||
HOUSE_BUILT|Построено||||
HOUSE_FURNISHED|Обставлено||||
HOUSE_ID_MANOR|Поместье||||
HOUSE_ID_MAINBUILD|Главный дом||||
HOUSE_ID_WORKSHOP|Мастерская||||
HOUSE_ID_LIBRARY|Библиотека||||
HOUSE_ID_GARDEN|Сад||||
HOUSE_ID_ENDLESS|Дом Сепульхры||||
HOUSE_ID_END_MAIN|Дом||||
HOUSE_ID_END_ANNEX|Пристройка||||
HOUSE_ID_END_TOP|Верхний этаж||||
HOUSE_ID_END_GARDEN|Сад||||
HOUSE_ID_FORTRESS|Крепость Велы||||
HOUSE_ID_FORTRESS_1|Квартиры||||
HOUSE_ID_FORTRESS_2|Мастерская||||
HOUSE_ID_FORTRESS_3|Тренировочная комната||||
HOUSE_ID_CWK|Дом Королевства Механизмов||||
HOUSE_ID_CWK_MAIN|Дом||||
HOUSE_ID_CWK_WORKSHOP|Мастерская||||
HOUSE_ID_CWK_GARDEN|Балкон||||
HOUSE_ID_CWK_LIBRARY|Пристройка||||
HOUSE_PANEL_FURNISH|Изменить тему:||||
HOUSE_PANEL_TITLE|Улучшение собственности||||
HOUSE_CONFIRM_FURNISH|Переделать собственность в этом стиле?||||
HOUSE_CONFIRM_UNION|Эта собственность будет переделана в стиле Союза Вероотступников. Вы уверены?||||
HOUSE_CONFIRM_OUTLAW|Эта собственность будет переделана в стиле разбойников и изгоев. Вы уверены?||||
HOUSE_CONFIRM_ENDLESS|Эта собственность будет переделана в мрачном стиле Вечных. Вы уверены?||||
HOUSE_CONFIRM_CWK|Эта собственность будет переделана в стиле Королевства Механизмов. Вы уверены?||||
HOUSE_CONFIRM_BUILD|Улучшить эту часть собственности?||||
HOUSE_CONFIRM_MAIN|Улучшить главный дом?||||
HOUSE_CONFIRM_WORKSHOP|Улучшить мастерскую?||||
HOUSE_CONFIRM_LIBRARY|Улучшить библиотеку?||||
HOUSE_CONFIRM_GARDEN|Улучшить сад?||||
HOUSE_NOTE_CONSTRUCT|Эта часть собственности все еще строится.||||
HOUSE_NOTE_COMPLETE|Эта часть собственности полностью улучшена.||||
HOUSE_NOTE_FURNISH|Это стоимость переделки собственности. Выберите стиль для подтверждения.||||
HOUSE_NOTE_NOTBOUGHT|Вы не можете улучшить эту собственность, так как она вам не принадлежит.||||
HOUSE_NOTE_NOSTYLES|Вы не разблокировали никаких стилей мебели.||||
HOUSE_NOTE_REDECORATING|Вы в процессе переделки.||||
HOUSE_BUILD_NOTENOUGH|Вам не хватает необходимых материалов для этого улучшения.||||
HOUSE_FURNISH_NOTENOUGH|Вам не хватает монет для переделки.||||
HOUSE_FURNISH_GOTALREADY|У вас уже есть эта мебель.||||
TROPHY_NOTE_NONE|Вы не разблокировали никаких трофеев для этого дисплея.||||
TROPHY_NOTE_ONE|У вас нет других трофеев для этого дисплея.||||
TROPHY_NO_WEAPON|У вас нет экипированного оружия.||||
FACTION_LOCKED|Вы должны быть в дружественных отношениях с этой фракцией, чтобы получить доступ.||||
FACTION_HATED|Ненавидимый||||
FACTION_ENEMY|Враг||||
FACTON_DISLIKED|Неприязнь||||
FACTON_NEUTRAL|Нейтральный||||
FACTON_ACCEPTED|Принятый||||
FACTON_FRIENDLY|Дружелюбный||||
FACTON_LOVED|Любимый||||
FACTION_NAME_UNION|Союз Вероотступников||||
FACTION_NAME_WIKKAN|Викканы||||
FACTION_NAME_OUTLAW|Изгои||||
FACTION_NAME_DARKSTAR|Темные Звезды||||
FACTION_NAME_ENDLESS1|Королевские Вечные||||
FACTION_NAME_ENDLESS2|Кадавры Вечных||||
FACTION_NAME_CWK1|Феррополис||||
FACTION_NAME_CWK2|Мятежники Механизмов||||
FACTION_NAME_EMBERIAN|Эмберианцы||||
FACTION_NAME_DEATHGOD|Бог Смерти||||
FACTION_NAME_GOBLINS|Гоблины||||
FACTION_NAME_UNDEAD|Нежить||||
FACTION_NAME_MACHINES|Машины||||
FACTION_NAME_CRYSTAL|Кристальные Дети||||
FACTION_NAME_ONIONS|Наемники Гнилой Луковицы||||
FACTION_INFO_UNION|Союз Вероотступников был сформирован примерно сорок лет назад, после того как его различные члены победили Викканов в Войне Богов. Их общая вера заключается в том, что для процветания человечества боги и поклоняющиеся им должны быть изгнаны из человеческого общества. В Союзе называть кого-то "набожным" — это настоящее оскорбление.||||
FACTION_INFO_WIKKAN|Еще до Мирового Разлома Викканские ковены доминировали в небесных землях. Различные Викканские ковены заключали благочестивые договоры между людьми и богами, придерживаясь строгих кодексов поведения. Союз Вероотступников, стремясь к свободе изучения шифрованной магии, победил Викканов в Войне Богов; и теперь их сила значительно уменьшилась.||||
FACTION_INFO_OUTLAW|Общий термин для различных разбойников и изгоев, населяющих Острова Грёз. Находясь на окраинах территории Союза Вероотступников, эти острова были относительно беззаконными до недавнего времени; многочисленные преступные группировки находили там убежище. Хотя они часто конкурируют друг с другом, слухи быстро распространяются среди банд изгоев, и можно заработать репутацию известного наемника.||||
FACTION_INFO_DARKSTAR|Наемническая банда под руководством Велы Каллос, Темные Звезды печально известны по всему Союзу Вероотступников своими злодеяниями. Говорят, что они сделают что угодно за деньги, и что они накопили огромные средства. В последний раз их видели на Островах Грёз.||||
FACTION_INFO_ENDLESS1|Верные Королеве Серебра, Королевские Вечные верят в соблюдение намерений своей монархини. Это включает в себя питание безмозглым мясом Кающегося Тхава вместо разумной плоти. Такая позиция помогла улучшить отношения с смертными фракциями в небесных землях за последние сто лет или около того.||||
FACTION_INFO_ENDLESS2|Кадавры Вечных — это тёмная группа, слабо организованная под командованием Лорда Риддера. Они верят в возвращение к темным дням Крестовых походов Кадавров, когда Вечные вторгались на соседние острова и пировали на смертной плоти. Это, конечно, было бы прямым вызовом желаниям Королевы Серебра.||||
FACTION_INFO_CWK1|текст||||
FACTION_INFO_CWK2|текст||||
FACTION_INFO_EMBERIAN|текст||||
FACTION_INFO_DEATHGOD|текст||||
FACTION_INFO_GOBLINS|Своеобразная группа гуманоидных существ, гоблины являются коренными жителями Островов Грёз. Их часто видят в деревянных масках, которые, как говорят, носят в знак покаяния за прошлые проступки. Они живут в гармонии с лесом и особенно любят гигантских мотыльков, обитающих там.||||
FACTION_INFO_UNDEAD|Призраки и скелеты. Хорошо известно, что воскрешение живого существа из мертвых невозможно с помощью шифрованной магии; но это не мешает некоторым душам цепляться за существование в жалкой пародии на жизнь.||||
FACTION_INFO_MACHINES|Искусственные конструкции, часто враждебные жизни. Многие машины были произведены в Кардове во время Войны Богов, и это наследие продолжается с момента основания Королевства Механизмов. Если у этих ужасных механизмов была какая-то полезная цель, она давно забыта; они бродят бесконтрольно, атакуя любую угрозу, которую обнаруживают их сенсоры.||||
FACTION_INFO_CRYSTAL|Последователи новой богини, глубоко под Вечными. Кристаллы растут изнутри.||||
FACTION_INFO_ONIONS|текст||||
NOTE_FACTION_CHANGE1|теперь считают вас:||||
NOTE_FACTION_CHANGE2|теперь считает вас:||||
NOTE_AMMO_DEPLETED|У вас закончились боеприпасы для этого оружия.||||
NOTE_ITEM_DEPLETED|Вы израсходовали этот предмет. Найдите больше или снимите его.||||
NOTE_FATIGUE_LEVEL|Ваши характеристики снижены из-за усталости. Вам следует отдохнуть.||||
NOTE_CANT_TELEPORT|Вы должны нацелиться на кристалл перехода, чтобы телепортироваться.|нет кристалла.|||
NOTE_CANT_USE|Вы не можете использовать этот предмет сейчас.|Вы не можете использовать этот предмет сейчас.|||
NOTE_NOT_IDLE|Вы не можете сделать это сейчас.|Вы заняты.|||
NOTE_NOT_USABLE|Вы не можете использовать это сейчас.|Вы не можете использовать это сейчас.|||
NOTE_GAINED|Получено|Получено|||
NOTE_PILFERED|Прикарманено|Прикарманено|||
NOTE_PILFERED_COIN|Прикарманена {0} монета.|Прикарманена {0} монета.|||
NOTE_PILFERED_COINS|Прикарманено {0} монет.|Прикарманено {0} монет.|||
NOTE_PILFERED_PICK|Прикарманена {0} отмычка.|Прикарманена {0} отмычка.|||
NOTE_PILFERED_PICKS|Прикарманено {0} отмычек.|Прикарманено {0} отмычек.|||
NOTE_LOST|Потеряно|Потеряно|||
NOTE_LOST_COIN|Потеряна {0} монета.|Потеряна {0} монета.|||
NOTE_LOST_COINS|Потеряно {0} монет.|Потеряно {0} монет.|||
NOTE_IN_COMBAT|Вы не можете сделать это в бою.|Вы не можете сделать это в бою.|||
NOTE_EMBRACED|Обнято|Обнято|||
NOTE_SUCCUMBED|Поддалось|Поддалось|||
NOTE_HEALTH_POTION|зелье здоровья.|зелье здоровья.|||
NOTE_MANA_POTION|зелье маны.|зелье маны.|||
NOTE_DELUSION_WAITING|У вас есть неиспользованные Заблуждения. Увеличьте свои атрибуты в Журнале.||||
NOTE_LEVEL_UP|Вы обняли Заблуждение. Используйте его, чтобы увеличить атрибут.||||
NOTE_GLIMMER|Вы увидели Мерцание Заблуждения. Соберите больше, чтобы получить полное Заблуждение. |Обнято Мерцание Заблуждения.|||
NOTE_DELUSION|к Заблуждению.|к Заблуждению.|||
NOTE_CANT_DO|Вы не можете сделать это.|Вы не можете сделать это.|||
NOTE_COIN|монета.|монета.|||
NOTE_COINS|монеты.|монеты.|||
NOTE_COIN?|монета?|монета.|||
NOTE_COINS?|монеты?|монеты.|||
NOTE_PICK_SUCCESS|Замок взломан!|Замок взломан.|||
NOTE_PICK_FAIL|Не удалось взломать замок. Отмычка сломана.|Не удалось взломать замок. Отмычка сломана.|||
NOTE_PICK_NEAR_MISS|Близкий промах: отмычка не сломана.|Близкий промах: отмычка не сломана.|||
NOTE_PICKS_FULL|Нельзя носить больше отмычек.|Нельзя носить больше отмычек.|||
NOTE_PICKS_EMPTY|У вас нет отмычек.|Нет отмычек.|||
NOTE_PICK|отмычка|отмычка|||
NOTE_PICKS|отмычки|отмычки|||
NOTE_NO_MATS|Вам не хватает необходимых материалов.|вам не хватает необходимых материалов.|||
NOTE_NOT_ENOUGH|У вас недостаточно.|Вы бедны, смертный.|||
NOTE_NO_COIN|У вас недостаточно монет.|Вы бедны, смертный.|||
NOTE_CANT_STORE|Вы не можете хранить этот предмет.||||
NOTE_ALCHEMY|Вам нужно два ингредиента.|У вас нет цветов, глупец!|||
NOTE_HERB_PICKED|Этот предмет должен вырасти снова.|Этот цветок мертв.|||
NOTE_CREATURE_EMPTY|Это существо не имеет предметов.|Ничего для вас.|||
NOTE_LORE_LOW|Ваш навык Знания слишком низок.|Ваше Знание ужасно.|||
NOTE_ACTIVATED_ELSEWHERE|Это активировано в другом месте.|Вам нужно присмотреться внимательнее.|||
NOTE_MANA_NEEDED|Недостаточно маны.|Нужно больше сока разума.|||
NOTE_CANT_REST|Вы не можете отдохнуть здесь.|нельзя отдохнуть|||
NOTE_OWNED_BED|Эта кровать принадлежит кому-то другому; вы не можете использовать ее.|чужая кровать|||
NOTE_LORE_COMPLETE|Что-то изменилось...|вы сделали это.|||
NOTE_DOORMAN_FAIL1|Привратник не пускает вас. Вам нужно |он сказал уйти. вам нужно|||
NOTE_DOORMAN_FAIL2| Обаяние, чтобы уговорить его.| личность, чтобы он вас полюбил|||
NOTE_ITEM_GAINED|Предмет получен:|получен предмет:|||
NOTE_ITEM_REMOVED|Предмет удален:|удален предмет:|||
NOTE_BARGAIN|монеты сэкономлены. Торг!|монеты сэкономлены. Торг!|||
NOTE_BARGAIN_COIN|{0} монета сэкономлена. Выгодная сделка!|{0} монета сэкономлена. Выгодная сделка!|||
NOTE_BARGAIN_COINS|{0} монет сэкономлено. Выгодная сделка!|{0} монет сэкономлено. Выгодная сделка!|||
NOTE_PORTAL_NOKEY|Это устройство, кажется, требует ключа.||||
NOTE_PORTAL_GOTKEY|Этот портал Академии теперь активен.||||
NOTE_MAP_UPDATED|Ваша карта обновлена.||||
NOTE_MAP_NO|Рядом нет ориентиров, чтобы отметить их на вашей карте. ||||
NOTE_DRUNK_0|Вы чувствуете себя трезвым. Вы думаете.||||
NOTE_DRUNK_1|Вы чувствуете легкое опьянение.||||
NOTE_DRUNK_2|Вы довольно пьяны.||||
NOTE_DRUNK_3|Вы очень пьяны.||||
NOTE_DRUNK_4|Вы ОчЕнЬ КрАсИвЫ. ДаАаАа. *Ик*.||||
NOTE_PICKAXE|Эта жила была истощена давно.||||
NOTE_LANDMARK_NEAR|Это выглядит как интересный ориентир.||||
NOTE_SIMPLE_BUFF|Вы получили временный бафф:||||
NOTE_MIRROR_ACTIVE|Вы проходите через зеркало и появляетесь где-то... еще.||||
NOTE_MIRROR_INACTIVE|Затворы не поддаются. Это должно быть активировано в другом месте.||||
NOTE_MIRROR_EXIT|Это зеркало разбито без возможности починки.||||
NOTE_COMPONENT_NONE|Кажется, здесь чего-то не хватает.||||
NOTE_COMPONENT_MORE|Кажется, здесь все еще чего-то не хватает.||||
NOTE_COMPONENT_COMPLETE|Что-то изменилось...||||
NOTE_SPELL_SLOT_LOCKED|Вам нужно больше Заклинаний, чтобы разблокировать этот слот заклинаний. ||||
NOTE_SPELL_UNEQUIPPED|Заклинание было снято.||||
NOTE_CANNOT_CAST|Вы не можете произнести это сейчас.||||
NOTE_CANNOT_SUMMON|Вы не можете призвать здесь.||||
NOTE_TOOMANY_SUMMON|Вы достигли лимита призывов. ||||
NOTE_CUTTER_BROKEN|Этот резак нужно починить. ||||
NOTE_CUTTER_GROUNDED|Этот резак нельзя пилотировать, пока док закрыт; Ослепляющий Свет должен быть в воздухе. ||||
NOTE_CUTTER_SEECONFESSOR|Сначала поговорите с Верховным Исповедником. ||||
AIRSHIP_ANCHOR_UP|Якорь корабля нельзя опустить здесь. ||||
QUEST_STARTED|Квест начат:|Безнадежно:|||
QUEST_FINISHED|Квест завершен:|Безнадежно:|||
QUEST_UPDATED|Квест обновлен:|Безнадежно:|||
DOOR_BARRED|Дверь заперта с другой стороны.|Дверь заперта.|||
DOOR_NEED_KEY|Дверь требует ключа.|Дверь заперта.|||
DOOR_NEED_FACT|Дверь плотно закрыта.|Дверь запечатана|||
DOOR_NEED_REMOTE|Дверь запечатана невидимым устройством.|Дверь запечатана|||
DOOR_NEED_KEY_SMASH|Дверь требует ключа... или, возможно, сильного удара.|Дверь заперта ключом или силой|||
DOOR_NEED_KEY_REMOTE|Дверь требует ключа... или, возможно, невидимое устройство может помочь.|Дверь заперта ключом или печатью|||
DOOR_NEED_REMOTE_SMASH|Дверь запечатана невидимым устройством... или, возможно, сильный удар поможет.|Дверь заперта печатью или силой|||
DOOR_NEED_KEY_REMOTE_SMASH|Дверь требует ключа... или, возможно, невидимое устройство может помочь.|Дверь заперта ключом, печатью или силой|||
NOTE_FULLSTOP|.|.|||
NOTE_NEEDED|Нужно|Нужно|||
NOTE_CHARM_SUCCESS|Проверка Обаяния успешна.|Успех!|||
NOTE_CHARM_FAIL|Проверка Обаяния провалена.|Полный провал!|||
NOTE_CHARM_LUCK|Соблазнительный аромат: Проверка Обаяния успешна.|Соблазнительный аромат: Проверка Обаяния успешна.|||
NOTE_CHARM_UNLUCKY|Проверка Обаяния провалена. Неудача...|Проверка Обаяния провалена. Неудача...|||
NOTE_MIGHT_FAIL|Вам не хватает Мощи, чтобы сломать это.||||
NOTE_CANT_PASS_TIME|Нельзя пропустить время здесь; область нестабильна.|Нельзя ждать.|||
NOTE_LIFT|Лифт уже здесь.|Лифт уже здесь.|||
NOTE_LIFT_INACTIVE|Лифт еще не активен.|Лифт еще не активен.|||
NOTE_LIFT_NEEDITEM|Этот лифт требует ключа.|Этот лифт требует ключа.|||
NOTE_LIFT_USEITEM|Использовано|Использовано|||
NOTE_FORTRESS_INACTIVE|Крепость нужно починить, прежде чем это заработает.|Крепость нужно починить, прежде чем это заработает.|||
NOTE_FORTRESS_MOVING|Крепость уже движется.|Крепость уже движется.|||
NOTE_FRUIT|Сочный фрукт восстанавливает вас||||
NOTE_AIRSHIP_NO_DEED|Вы должны купить документ на воздушное судно, прежде чем сможете его улучшить.||||
NOTE_CRITICAL_CAST|Критическое заклинание!||||
STAT_DELUSIONS|Вера — это всё. По мере роста ваших Заблуждений растет и ваша сила. Найдите достаточно Мерцаний Заблуждения — исследуя мир или выполняя квесты — и они дадут полное Заблуждение. Заблуждения можно потратить на увеличение одного из ваших основных атрибутов.||||
STAT_MIGHT|Увеличивает ваше максимальное Здоровье. Управляет боевыми навыками Атаки и Защиты. ||||
STAT_GUILE|Увеличивает вашу максимальную Выносливость. Управляет навыками Взлома и Ловкости.||||
STAT_WISDOM|Увеличивает вашу максимальную Маны. Управляет навыками Знания и Заклинаний. ||||
STAT_PERSONA|Увеличивает скорость регенерации. Управляет навыками Обаяния и Торга.||||
STAT_HEALTH|Количество урона, которое вы можете получить, прежде чем умрете. Восстанавливается отдыхом или зельями.||||
STAT_MANA|Требуется для успешного произнесения определенных заклинаний. Восстанавливается отдыхом или зельями.||||
STAT_STAMINA|Влияет на урон от атаки и, на низких уровнях, на ваши навыки. Максимальная выносливость уменьшается со временем, но может быть восстановлена отдыхом.||||
STAT_REGEN|Скорость восстановления вашей Выносливости. ||||
SKILL_ATTACK|Увеличивает урон от всех физических атак.||||
SKILL_LOCKPICK|Увеличивает шанс успешного взлома замка или обезвреживания ловушки. Требует отмычек, которые ломаются при неудаче.||||
SKILL_LORE|Знание древних истин. Позволяет взаимодействовать с скрытыми механизмами, чтобы раскрыть тайны.||||
SKILL_CHARM|Способность влиять на других через диалог. Может раскрыть важную информацию или разрешить сложные ситуации.||||
SKILL_DEFENCE|Уменьшает получаемый урон от врагов.||||
SKILL_AGILITY|Увеличивает скорость движения и высоту прыжка.||||
SKILL_SPELLCAST|Увеличивает силу заклинаний и скорость их произнесения.||||
SKILL_BARTER|Позволяет заключать более выгодные сделки. Покупайте дешево, продавайте дорого.||||
DAMAGE_REDUCTION|На основе Брони и Защиты, общее снижение урона составляет ||||
SKILL_ARMOUR|Ваш показатель Брони, основанный на одежде и экипировке. Уменьшает урон от вражеских атак.||||
WEAPON_DAMAGE|Общий урон, который вы наносите оружием в этом слоте. Комбинация вашего навыка Атаки и базового урона оружия.||||
CHAR_PRELUDE_TITLE|Начало||||
CHAR_PRELUDE|Мир давно разрушен, его поверхность проклята. ##Вы обитатель Небесных Земель; дрейфующих островов, которые хранят последние остатки человеческой цивилизации. ##Здесь, в сырой камере корабля Инквизиции, вы размышляете о своем прошлом.||||
CHAR_YOUTH_NULL|Сны о детстве проносятся в вашем сознании. Была ли ваша судьба предрешена уже тогда?||||
CHAR_YOUTH_NULL_T|Юность||||
CHAR_CAREER_NULL|Тело росло, ум оттачивался. Какое-то время вы преуспевали.||||
CHAR_CAREER_NULL_T|Карьера||||
CHAR_DOWNFALL_NULL|Появились трещины, ваша бдительность ослабла. Ошибка была роковой — Инквизиция почуяла ваш след.||||
CHAR_DOWNFALL_NULL_T|Падение||||
CHAR_YOUTH|Сны о детстве проносятся в вашем сознании. Была ли ваша судьба предрешена уже тогда?||||
CHAR_CAREER|Тело росло, ум оттачивался. Какое-то время вы преуспевали.||||
CHAR_DOWNFALL|Появились трещины, ваша бдительность ослабла. Ошибка была роковой — Инквизиция почуяла ваш след.||||
CHAR_MIGHT_T|Боец||||
CHAR_MIGHT|Идея битвы захватывает вас; так было всегда. Вы начали с того, что ломали палки, а вскоре уже скрещивали мечи. Никогда не было сомнений; вы были бойцом до мозга костей.||||
CHAR_GUILE_T|Бродяга||||
CHAR_GUILE|В детстве вы были никем; просто еще один голодный ребенок, забивающий город. Без уличной банды вы бы умерли, как и остальные. Они научили вас видеть то, что другие не видят, проникать туда, куда другие не могут. Они научили вас выживать.||||
CHAR_WISDOM_T|Ученик||||
