Dialogues:|Clockwork|||
Ras45|Я... всё надеялся, что кто-нибудь придёт, пока я ещё в силах поговорить. Спасибо, что дал мне рассказать мою историю.|||
Ras46|[[Двигатель]] был — и есть — революционным. Сердце его — то, что мы называли [[Сфера Расмуссена]]##Это своего рода рекурсивный накопитель энергии: он перерабатывает естественную энтропию обычного двигателя в... ну, в ещё большую энергию. Не спрашивай меня, как.|||
Ras47|Дед с бабкой уверяли, будто всё понимают; к временам моих родителей в этом уже никто не был уверен.##Я там не был уже много лет, но они научили меня управляться со всеми рычагами — пусть я и не объясню толком, что заставляет его работать.|||
Ras48|Но ты мог бы убрать его, если захочешь. Ты ведь за этим и пришёл, верно? Не тревожься. Знаю, ты явился не меня слушать.##Сфера там, в обломках, но так просто до неё не добраться. Слишком много энергии.|||
Ras49|Отключить её можно: два выключателя, в разных концах острова, поодаль друг от друга. Аварийные. Переключишь оба — сфера отключится. Энергия никуда не денется, но ты сможешь вытащить её, перенести.|||
Ras50|Готово. Можешь не говорить — я чувствую. Точнее, больше не чувствую — энергии больше нет.##Хм. Молодец. Эта проклятая штуковина веками просидела на одном месте.|||
Ras51|Пора ей снова летать. Пора делать то, для чего Расмуссены её и создавали.|||
Ras52|Эх, и чем бы я тогда занялся? Там для меня ничего нет. Я надеялся дожить до того, чтобы кто-нибудь пришёл и сказал мне доброе слово, — и вот, дождался. С меня и довольно.##Оставь меня здесь, и я скоро отправлюсь к предкам. Ступай. Распорядись ею с умом. |||
Ras53|Что ж, прощай. Лети быстро. Помни Расмуссенов.|||
Ras54|Кто там? Кто это? Я чувствовал... я чувствую... ничего. Ее больше нет.|||
Ras55|Ты достал ее? [[Сфера Расмуссена]]. Работа моих предков?|||
Ras56|Ах, да какой смысл всё это объяснять. Теперь она у тебя — и без моей помощи. Незачем тебе болтливый старик.##Иди, иди.|||
Ras57|Нужно что-то еще?|||
RasP1|Меня... впервые в таком обвиняют.|||
RasP2|Я настоящий. А ты?|||
RasP3|<<Молчи, пока подходишь.>>|||
RasP4|Кто именно вымирает?|||
RasP5|Что это за место?|||
RasP6|И сколько же ты пробыл здесь в одиночестве?|||
RasP7|Я ищу... двигатель? Сферу, мне сказали?|||
RasP8|Прости, я не понимаю. Тебе придется объяснить.|||
RasP9|Неважно все это. Расскажи мне о двигателе.|||
RasP10|Хорошо. Тогда я пойду.|||
RasP11|Ты действительно не против, если я уберу ее? Что будет с тобой?|||
RasP12|Думаю, я уже отключил один из этих выключателей.|||
RasP13|Я уже нашел их: они оба отключены.|||
RasP14|Прощай.|||
RasP15|Расскажи мне еще раз о своей семье, Расмуссенах.|||
RasP16|Я понимаю. И ты все еще здесь.|||
RasP17|Продолжай...|||
RasP18|Расскажи мне еще раз о сфере.|||
RasP19|Я могу взять тебя с собой, увести с этого острова.|||
RasP20|Я использую ее с умом.|||
DesSwitch1|<<Большой [[выключатель]], похожий на рубильник, встроен в консоль перед тобой.>>##<<И вся эта штуковина, и хижина вокруг словно собраны из разрозненных, пусть и внушительных, деталей, на которых уже виден возраст.>>|||
DesSwitch2|<<На консоли — один большой выключатель, вроде рубильника.>>##<<Как и сама хижина, консоль выглядит разом самодельной и древней, ветхой и высокотехнологичной: неуклюже сляпанный набор изящных деталей, и в щелях между ними проступает ржавчина.>>|||
DesSwitch3|<<Выключатель идёт туго, со скрежетом.>>##<<Когда он с глухим стуком встаёт на место, вокруг ничего не меняется.>>|||
DesSwitch4|<<Выключатель сильно заржавел, но под нажимом поддаётся.>>##<<Когда он встаёт на место, ты слышишь... ничего, лишь звон в ушах: странную гулкую тишину на месте звука, которого ты и не замечал, — он вдруг смолк, и над островом разлилась настоящая тишина.>>|||
DesSwitch5|<<Теперь, когда он выключен, с устройством больше делать нечего.>>|||
DesSwitchP1|Щёлкнуть выключателем|||
DesSwitchP2|Оставить его|||
Pulmona1|<<Человек внутри раковины такой же узловатый, как и его захламлённый дом. Он смотрит на тебя тяжёлым, молчаливым взглядом, словно видит сквозь тебя что-то по ту сторону.>>|||
Pulmona2|%%Взгляд человека соскальзывает с тебя, на миг сосредотачивается на чём-то за твоей спиной — и он отворачивается. Отказ, при всей своей безмолвности, яснее некуда.|||
Pulmona3|%%Ах. Посетитель.##Но... посетитель — ко мне?|||
Pulmona4|Примерно настолько же, насколько мёртвые наверху «живут» на поле павших, я полагаю. Да, я коротаю здесь время, а порой и другие оставляют тут своё золото.|||
Pulmona5|Это место? Мой дом, мой эмпориум, мой скакун.|||
Pulmona6|Или ты о поле бойни, что наверху?##[[Скала Аристида]] — так её когда-то называли.|||
Pulmona7|Среди прочего... нынче я редко встречаю кого-то. Но у меня тут припасено несколько диковинок и безделушек.##Глядишь, и сыщется [[кое-что весьма любопытное]]...|||
Pulmona8|Я здесь не по делам — я, скажем так, отдаю дань уважения? Но всегда рад поторговать между делом. Глядишь, и сыщется [[кое-что любопытное]]...|||
Pulmona9|Мёртвым снаружи, кому же ещё. Павшим солдатам и... иным мёртвым.|||
Pulmona10|Инквизиция, может, и хочет, чтобы мы забыли, что здесь случилось, да забыли не все — пока ещё нет.##Да и мёртвые не забыли.|||
Pulmona11|Стало быть, ты вернулся. Нынче я редко кого встречаю.##У меня тут припасено несколько диковинок и безделушек. Глядишь, и сыщется [[кое-что весьма любопытное]]...|||
Pulmona12|Прощай.|||
PulmonaP1|Оставить его в покое|||
PulmonaP2|@@Что это за место?|||
PulmonaP3|Эмпориум? Значит, это магазин?|||
PulmonaP4|Конечно, дай мне посмотреть, что у тебя есть. <<[ТОРГОВЛЯ]>>|||
PulmonaP5|Что ты здесь делаешь? Клиентов тут, похоже, негусто.|||
PulmonaP6|Отдаешь дань уважения? Кому?|||
PulmonaP7|Я понимаю. Ну, давай поторгуем? [ТОРГОВЛЯ]|||
PulmonaP8|Я понимаю. Тогда я пойду.|||
PulmonaP9|Может быть, в другой раз.|||
Drangorg1|Эх, не робей. <<Он затягивается трубкой, и вокруг расходится странный запах.>> ## Моё собственное изобретение, если тебе любопытно. В семнадцать раз действеннее обычной трубки. Одного кисета мне хватало на месяцы в поле!|||
Drangorg2|А, снова ты? <<Старый ветеран затягивается своей механической трубкой, наполовину скрытый витиеватыми клубами дыма.>> |||
Drangorg3|<<У человека в углу — самые роскошные усищи, какие ты только видел; такие, что и морж заплакал бы от зависти: из-под них торчит несуразное устройство, должно быть, далёкий потомок курительной трубки. Держится он прямо и с достоинством, даже сидя в одиночестве; перед ним несколько пустых стаканов.>>|||
Drangorg4|Эх, не робей. <<Он затягивается трубкой, и вокруг расходится странный запах.>> ## Моё собственное изобретение, если тебе любопытно. Перегоняет табачный сок и снова пускает его паром в дело. В семнадцать раз действеннее обычной трубки. |||
Drangorg5|<<Он издаёт хриплый смешок.>> Представь, какая экономия! Одного кисета мне хватало на месяцы в поле.|||
Drangorg6|И тебе.|||
Drangorg7|Пф! Куда там. Думаешь, рядовому солдату такое под силу выдумать? <<Он покачивает своей механической трубкой.>>|||
Drangorg8|Я был боевым инженером. Лейтенант-Артифицер Дрангорг, 17-е Гвардейцы-смазчики. Строил и обслуживал боевые машины, каких тебе и не вообразить.|||
Drangorg9|Ясное дело, в Войне Богов! Не нужна тебе четырёхэтажная боевая машина, чтоб гонять браконьеров, что натаскали лишних кроликов, верно? Нет, мы строили машины, чтобы биться с самими богами. И мы победили. |||
Drangorg10|Такие, что убивают бога наповал, вот что. Боевые машины — что движущиеся горы. Творения ремесла и науки, каких нынче уже не встретишь.|||
Drangorg11|Мы нюхали порох и при Битве у Врат, и в Чёрный День Покоя; отступление из Краснограда, осада Аунпура... <<Он видит, как твои глаза стекленеют.>> ##Для тебя это всё пустые названия, верно? Если вообще что-то значат.|||
Drangorg12|Ну, а как насчёт ((Битвы за Скалу Аристида?)) Уж о ней ты ((наверняка)) слыхал.|||
Drangorg13|Пф! Да его отсюда ((видно)), чёрт возьми! Это остров к северу, за Пвиллом, с разбитой [[боевой машиной]] — ты его ((никак)) не пропустишь.|||
Drangorg14|Ясное дело, слыхал!##Эту разбитую [[боевую машину]] ((видно)), чёрт возьми, если глянуть на север, за Пвилл.|||
Drangorg15|Война почти кончилась, когда мы там дрались, но именно эта врезалась мне в память. Та, где я оставил... ну...##<<Он вздыхает.>> Так хочешь послушать болтовню старого солдата или нет?|||
Drangorg16|Ага, как знаешь. Ну, о чём ещё потолкуем?|||
Drangorg17|Хм, ну, война почти отгремела к тому времени, как мы добрались до Скалы Аристида. Дыра дырой, по правде, но кучка верующих сбежала туда с богом. А точнее — верхом ((на)) боге.|||
Drangorg18|А загнанного в угол бога ты ведь не видал? <<Он хмурится.>>##Нет. Считай, повезло.|||
Drangorg19|Но была у нас своя машина — та, что мы с Корнелиусом водили чуть ли не с самого начала всей этой кутерьмы.|||
Drangorg20|<<Он делает паузу.>> Постой, разве я не упомянул Корнелиуса? Он был моим... ах. Моим командиром. Лучшим, какого свет видал. ##Он чувствовал машину как никто. Мы с ним проволокли эту махину через битву за битвой, пока не узнали её едва ли не лучше, чем друг друга.|||
Drangorg21|В общем, эх...  <<Старый инженер замолкает, погружённый в мысли, и щёки его чуть краснеют под обвисшими усами.>>|||
Drangorg22|Прости. Сбился с мысли на минуту, я... Эх. ##Незачем тебе вся эта история. Дела давно минувшие — и пусть такими и остаются. Я вернулся, а большинство — нет. Корнелиус и боевая машина в том числе.|||
Drangorg23|Думаю, он всё ещё там, где-то; то, что ((осталось)) от него. Никто из нас туда не возвращался, понимаешь. Да если б кто и ((захотел)) вернуться на эту треклятую скалу — понадобился бы [[мощный воздушный корабль]].|||
Drangorg24|<<Он вздыхает.>> Да и что тут ещё скажешь?|||
Drangorg25|<<Повисает неловкое молчание, и тебе кажется, что столько Дрангорг не говорил уже не один год — и вряд ли скажет ещё хоть слово за нынешний вечер.>>|||
Drangorg26|<<Дрангорг на миг замирает, нерешительно тянет руку — и тут же отдёргивает, ещё не решаясь коснуться реликвии.>>##Это... ? Ты... ? |||
Drangorg27|<<Он кашляет, выбив из трубки особенно эффектный сноп дыма, и пытается взять себя в руки.>> Вот уж не думал, что снова это увижу. Но ты уважил старого Гвардейца-смазчика.##<< Он снова тянет руку и на этот раз осторожно касается подвески.>>|||
Drangorg28|Вот. Возьми. Не открывай тут — и нигде, где какой-нибудь старый Инквизитор мог бы подсмотреть! Это руда Пустоты. Ничего я из неё не построил, никого ею не убил — и уж теперь не построю и не убью, но именно она покончила со всеми богами. Она да наша кровь и пот.|||
Drangorg29|Малость этого добра я приберёг себе под конец войны, сам не знаю зачем. Может, на память, — а теперь у меня есть... это.##<<Дрангорг крепко сжимает подвеску и подвигает к тебе свёрток. Похоже, самое время оставить старика наедине с его мыслями.>> |||
Drangorg30|Ага. Я был боевым инженером. Лейтенант-Артифицер Дрангорг, 17-е Гвардейцы-смазчики. Строил и обслуживал боевые машины, каких тебе и не вообразить. ##Мы строили машины, чтобы биться с самими богами. И мы победили.|||
Drangorg31|<<Он хмурится.>> Ну, вряд ли надо тебе объяснять, что приходилось ((тяжело.)) Тогда война забирала всё, что у нас ((было.)) Днём мы работали, а ночью — убаюканные шестернями и приводами наших машин — просыпались от воя викканской артиллерии-крикуньи.|||
Drangorg32|А 17-е? Мы были ((лучшими)). Почти все мы были кардовцами — ещё до ((Королевства Механизмов)), или как оно там теперь зовётся.|||
Drangorg33|<<Он вздыхает.>> Почти всех тех парней я больше так и не видел. Говорят, там нынче несладко — с этим Королём Механизмов. |||
Drangorg34|Хм, ну, Война Богов почти отгремела к тому времени, как мы добрались до Скалы Аристида. Дыра дырой, по правде, но кучка верующих сбежала туда с богом. А точнее — верхом ((на)) боге. |||
Drangorg35|Но была у нас своя машина — та, что мы с Корнелиусом водили чуть ли не с самого начала всей этой кутерьмы.|||
Drangorg36|Да что тут скажешь? Я вернулся, а большинство — нет. [[Корнелиус]] и боевая машина в том числе.|||
Drangorg37|Боги были... ну, в конце концов мы выяснили, что всемогущими они не были, — но к тому чертовски близкими. Понимаешь, что это значит? В лучшем случае мы были для них ((игрушками)). В лучшем случае.|||
Drangorg38|Говори что хочешь про своего доморощенного эрудита – проклинай его имя, плюй ему в лицо. По крайней мере, не по нраву он тебе — избавишься от него обычным манером. Глаза в глаза, меч на меч, на честных выборах. Или иначе, коли уж до того дойдёт.|||
Drangorg39|Само собой, и мне довелось сойтись не с одним богом — глаза в глаза, меч на меч, так-то вот.|||
Drangorg40|Ага, Инквизиция. Дышат в затылок, норовят залезть тебе в самый череп. Не ты один находишь их слегка... удушающими.##Но взгляни и с их стороны. Боги не намерены просто сдаться и принять свою участь. Сделки с нами им не выторговать. Для них это ((экзистенциально)). А потому они никогда не перестанут рваться обратно к власти. Никогда.|||
Drangorg41|А значит, всякий бог, покуда он жив — если их существование вообще можно звать «жизнью», — смертельно опасен для Союза. Особенно когда любой из них может вырасти в чудовище, стоит ему охмурить довольно идиотов на поклонение.##Когда сидишь в одной клетке с бешеным псом, рука не всегда может быть мягкой.|||
Drangorg42|Эх, ну. Хэллоушир — случай особый. На отшибе вечно неразбериха, знаешь ли? А кое-кому, честно сказать, неразбериха и по душе. Но иные земли... глядишь, когда-нибудь и повидаешь.|||
Drangorg43|Взять хоть меня — я из [[Бьонна]]. Виноград, что наливается к жатве; колокола, что звонят над городами; рынки, учёные, песни.##Вот за что мы дрались. И мы победили.|||
Drangorg44|<<Он коротко кивает тебе.>>|||
Drangorg45|<<Дрангорг тихо кивает и затягивается трубкой.>>|||
Drangorg46|Ну ладно. Что-нибудь ещё?|||
DrangorgP1|Ээ... интересно. Хорошего дня.|||
DrangorgP2|В поле? Ты... был солдатом?|||
DrangorgP3|И что же это за машины?|||
DrangorgP4|Ты имеешь в виду, в Войне Богов?|||
DrangorgP5|Вряд ли, не припомню.|||
DrangorgP6|<<[Ложь]>> Конечно!|||
DrangorgP7|Может быть, в другой раз.|||
DrangorgP8|Пожалуйста, продолжай.|||
DrangorgP9|У меня есть кое-что для тебя. <<Отдать подвеску.>>|||
DrangorgP10|Ты так и не закончил рассказывать мне о Скале Аристида.|||
DrangorgP11|Так ты сражался в Войне Богов, ты сказал?|||
DrangorgP12|Каково было в Гвардейцах-смазчиках?|||
DrangorgP13|Расскажи мне еще раз о Битве за Скалу Аристида.|||
DrangorgP14|Какими они были, боги?|||
DrangorgP15|Это все, что я хотел знать о войне.|||
DrangorgP16|Инквизиции здесь, похоже, немало. Чем они тут заняты?|||
DrangorgP17|Жизнь здесь, похоже, нелёгкая.|||
DrangorgP18|Прощай, Лейтенант-Артифицер.|||
MemUnionA|... Слышишь?! Это не канонада! Это будущее!... |||
MemUnionB|... зубы. Зубы у этой твари! Зубы...|||
MemUnionC|... Боги, прости меня. Боги, сосредоточься. Сосредоточься. Может ли бог простить тебя, если ты убил его? Можешь ли ты простить бога, если он убил тебя? Может ли бог убить тебя, если ты простил его? Можешь ли ты простить бога, если убил его? Можешь ли ты убить бога, если простил его? Нет! Боги, нет. Перестань думать о богах. Боги. Можешь ли ты...|||
MemUnionD|... Вперед! За Вероотступничество! Смерть идолам ложным и истинным! Смерть самой смерти! Вперед...|||
MemUnionE|... О, страшно тебе, да? Боишься какого-то едва вылупившегося божка? Мы заставим его пожалеть, что он вообще на свет вылез! Ну же, парень, это, по-твоему, бог? Я и получше богов, чем этот, высирал...|||
MemUnionF|... Что мы построили? Что мы натворили? Нечто больше самих богов.##Не станем ли мы сами ему кланяться ещё прежде, чем кончится эта война...|||
MemShared|... Я хочу домой Я хочу домой Я хочу домой Я хочу домой Я хочу домой Я хочу домой Я хочу домой Я хочу домой Я хочу домой Я хочу домой Я хочу домой Я хочу домой... |||
MemWikkanA|... И где найти человеку смерть прекраснее, чем перед лицом грозной участи, за прах своих отцов и тела своих богов?... |||
MemWikkanB|... ну и громадина. Мерзость! Те, кто клянётся низвергать идолов, — лишь чтобы воздвигнуть вот это?!...|||
MemWikkanC|... ферма. Жатва. Румянец на грибных жабрах, когда зима идёт на убыль. Звон бруска по косе. Солнце на верхушках деревьев...|||
MemWikkanD|... Всё это не по-настоящему. Оно умрёт, как умирают все, и мы умрём вместе с ним, как умирали все до нас, и всё это окажется ложью, а я так и не узнаю, что такое свобода...|||
MemWikkanE|... мой щит, Мощь мой меч, и если я паду, боги пошлют мне мою награду. Сила моим щитом, Мощь моим мечом, и если я паду, боги пошлют мне мою награду. Сила моим щитом, Мощь моим мечом, и если я паду, боги пошлют мне мою награду. Сила моим щитом, Мощь моим мечом, и если я паду, боги пошлют мне мою награду. Сила моим щитом, Мощь моим мечом, и если я паду...|||
Kaea1|<<Потрёпанный жизнью мужчина сидит у окна, с хрипом одолевая каждый вдох.>>##<<Шею и руки его покрывают наколки давно забытой разбойничьей шайки, расплывшиеся от времени.>>|||
Kaea2|<<Он испуганно смотрит на тебя, потом хрипит:>>##Я не выдам, но... если придут за тобой — прятать не стану.|||
Kaea3|Я не сдохну в этой грёбаной темнице! Ни ради кого! Я, блядь, человек!##<<Он сплёвывает на пол — мокрота густая, желтоватая.>>|||
Kaea4|А ты как ((думаешь))? Идиот!|||
Kaea5|Мерзко, не правда ли? Всё это.|||
Kaea6|Опять ты? <<Он хрипит.>>##Будь как дома.|||
Kaea7|Зря я взялся за ту работу столько лет назад.##<<Его сотрясает сильный кашель.>>|||
Kaea8|Зря я вообще взялся за ту работу.|||
Kaea9|Она такая же, как я, понимаешь?##Грибы растут, и тело её не может им противостоять.|||
Kaea10|Убивает медленно. Уж поверь.|||
Kaea11|Эти [[ублюдки]] притащили сюда грибы давным-давно.##Заразили Моллюска — им так было выгодно. |||
Kaea12|За одно поколение мицелий расползся, а Ковен зачах. И теперь всё это вконец вышло из-под их власти. Всё за стенами их замка рассыпается.|||
Kaea13|А Моллюск и впрямь совсем как я. Скоро её не станет — навсегда. И знаешь что? Все фанатичные мечты, что взгромоздили ей на горб, сдохнут вместе с ней!|||
Kaea14|<<Пыл захлёстывает его, и накатывает новый приступ кашля. Отдышавшись, он словно теряет нить.>>|||
Kaea15|Дело давнее. Сказали — работа руками, да из тех, за какие инквизиторы на виселицу отправляют. Ни места, ни заказчика мне не назвали, да я и не слыхивал отродясь о [[Ковене Моллюска.]].##Якобы всё, что от меня требовалось, — сесть на воздушное судно, сделать дело, не задавать вопросов, забрать деньги, вернуться домой и навсегда заткнуться нахрен.|||
Kaea16|Лёгкие деньги, подумал я. Ни воровства, ни похищений, ни убийств. Для такого головореза, как я, это считай честный труд. Да и платили недурно.##<<Он кашляет, хватаясь за живот от боли.>>|||
Kaea17|Ну, короче, облажался я. Тут даром ничего не бывает. Влез в долги — и уже не вырваться.##Я был совсем близко к тому, чтоб расквитаться, да тело стало сдавать, и заработки таяли день ото дня.|||
Kaea18|Теперь я в такой глубокой яме, что хоть сразу в ней и закапывайся.##Не то чтоб мне и осталось-то много.|||
Kaea19|<<Он прищуривается на тебя.>>##Добыча, можно так сказать?|||
Kaea20|Моллюск родит [[руду гриботкани]] глубоко в своей утробе. Вот за чем сюда и явился Ковен.##Моё дело было — ворочать всё это дерьмо, чтоб работа шла своим чередом. |||
Kaea21|Бывало, помогал срезать лишнюю плоть или пересаживать куски туда, где их не хватало. Всё там такое огромное, что на любое дело нужна была артель в три-четыре человека.##<<Голос его садится от торопливой речи, и он снова заходится кашлем.>>|||
Kaea22|Я об этом мечтал, но... они держат под надзором каждое воздушное судно, проверяют каждую мелочь... и попадись я Ковену, мне...##<<Его так колотит кашель, что кажется — вот-вот вывернет наизнанку.>>|||
Kaea23|О, ты... уже уходишь?|||
KaeaP1|Справедливо.|||
KaeaP2|Почему бы и нет!?|||
KaeaP3|Если ((кто)) придёт искать?|||
KaeaP4|Что ты знаешь о Моллюске?|||
KaeaP5|Что это была за работа?|||
KaeaP6|Что за работу ты делал?|||
KaeaP7|Ты пытался сбежать?|||
KaeaP8|Понятно...|||
KaeaP9|Прощай|||
