NPC Name:|Endless||||
wannabe4|Академия мотается по всему Союзу Вероотступников лишь затем, чтобы их расфуфыренные маги могли поглумиться над всеми несчастными ((талантливыми)) простаками, которых не пускают внутрь.||||
p32|Э-э, наверняка они делают что-то большее, чем это?||||
wannabe5|<<Он усмехается.>> Ну, вроде как они создают самые передовые шифр-заклинания в Союзе. Риова закрывает им глаза на такую магию, за которую любого другого учёного бросили бы в застенки Инквизиции.||||
p33|Так как туда попасть?||||
wannabe6|Ну, оказывается, быть ((исключительным)) шифровальщиком для них ничего не значит. Чтобы посетить Академию, тебе нужна рекомендация от аккредитованного учёного. ||||
wannabe7|Я видел некоторых из их учёных, исследующих острова поблизости. Ты можешь попробовать попросить у них рекомендацию, но я отказываюсь угождать напыщенным академикам. ||||
p34|Ладно, понял. ||||
wannabe8|Без проблем. <<Он возвращается к игре со своими предметами.>>||||
p35|Э-э... зачем ты играешь со всем этим ((хламом))?||||
wannabe9|Ну как же! Это образцы моих самых изощрённых шифр-заклинаний! Видишь эту ложку? <<Он суёт ложку тебе в руку. Она влажная, мокрая.>> ##Я создал заклинание, заставляющее любой предмет ((потеть)). Невероятно, правда? Применений... ((без счёта)).||||
p36|Я не могу придумать ни одного применения для потной ложки.||||
wannabe10|Что ж, это говорит скорее о скудости твоего воображения, чем о чём-либо ещё.||||
p37|Подожди, это... человеческий пот? ||||
wannabe11|Хорошо подмечено. Заклинание перенаправляет жидкость и соль из ((собственного тела)) заклинателя на объект. Единственный недостаток в том, что это вызывает сильную жажду. ||||
wannabe12|Но это только ((одно)) из моих заклинаний. Видишь эту чашку? Приложи её к уху, и ты услышишь, как плачет мужчина. Это настоящий мужчина, хотя я понятия не имею, где он. О, а этот молоток? Это самый безопасный молоток в мире, так как он не может ничего ударить...||||
wannabe13|<<Он продолжает в том же духе некоторое время. В конце концов, ты находишь момент, чтобы прервать его монолог.>>||||
wannabe14|Я видел, как ты приходил и уходил из Академии. Это несправедливо! Ты зачаровал камень, чтобы он пел, или что-то в этом роде?||||
wannabe15|Хмф, ну ((ты))-то там побывал.||||
p38|Я пойду. Ты выглядишь... занятым. ||||
inq1|<<Агент Инквизиции окидывает тебя презрительным взглядом.>> ##Новое лицо? Ты, часом, не ещё один из этих нытиков-учёных?||||
inq2|Это место вызывает у меня отвращение. Кучка самовлюблённых идиотов, играющих с силами, которых не понимают и не могут обуздать.||||
inq2b|Но в последнее время до меня дошли слухи о чём-то, что может наконец их погубить. Это место хранит тёмную тайну — и я намерена её раскрыть.||||
inq3|<<Она смотрит на тебя с непостижимым выражением.>> ##Хм. Ты вернулся.||||
p41|Что это за тайна, которую ты ищешь?||||
inq4|Я ищу компромат на это место уже несколько месяцев. Академия играет с огнём; она попирает правила Союза на каждом шагу, а Совет — по своей бестолковости — всегда закрывает на это глаза.||||
inq5|Но недавно моё оборудование зафиксировало что-то; ((божественную сущность класса D)). Только слабый сигнал, так что мои начальники списали это на неисправность оборудования. Но если это ((правда))? Поклонение богам - серьёзное преступление. Совет ((обязан)) будет действовать! ||||
inq5b|Если они действительно укрывают какого-то мелкого бога, он будет хорошо спрятан. Мне бы очень пригодилась помощь постороннего, такого как ты.||||
inq6|Единственное наше преимущество в том, что эти косные старые дураки, похоже, недолюбливают друг друга. Поговорить с ними толком не вышло — они ненавидят меня не меньше, чем я их. Но, если поспрашиваешь, может, выведаешь то, что я упустила.||||
p42|Я спрашивал. Много споров, но ничего конкретного.||||
inq7|Хм, это не годится. Нам нужны твёрдые доказательства.||||
inq8|Может, попытай ту женщину из Вечных — что выглядит как ходячий труп. Она в Академии дольше всех — кто знает, чего она здесь насмотрелась?||||
p43|Один из учёных укрывал бога. У меня есть доказательства. ||||
inq9|<<Она выхватывает блокнот у тебя из рук и молча листает; её лицо медленно сменяет стоическую хмурость на безумную ухмылку.>>||||
inq10|И этого бога — ты видел его? Да. ((Да.)) Это сгодится. ##Вот, прими эту добычу в награду. Ты оказал Инквизиции большую услугу.||||
inq11|Я велю схватить этого негодяя, и вскоре вся мощь Инквизиции обрушится на это место. Они и ((чихнуть)) не посмеют без того, чтобы мы не изучили их выделения.||||
p44|Почему ты так ненавидишь Академию?||||
inq12|Ты знаешь, что такое ((шифрованная магия))? Это переписывание самого языка вселенной. Да, порой она бывает полезна, но если пустить её во зло — она способна уничтожить весь этот чёртов мир. ((Снова.))||||
inq13|По мне, уже скверно, что мы попускаем этакое грубое надругательство над реальностью в университетах Союза, — но ((тех)) дураков Инквизиция хотя бы держит в узде. А ((это)) место?||||
inq14|Совет в Риове снял все ограничения на исследования Академии Эрудитов, кроме самых строгих. Забудь про Викканов — это проклятое место и есть наибольшая угроза Союзу Вероотступников.||||
p45|Ладно, я буду начеку.||||
inq15|Ах, ты и впрямь делаешь честь Союзу Вероотступников. ##Прошу, возвращайся ко мне, если найдёшь что-нибудь любопытное.||||
p46|Я бы предпочёл не делать этого.||||
inq16|Хм. Заставить тебя помогать я не могу. Но попросила бы оставаться начеку — ради блага Союза.||||
carto1|<<Когда ты приближаешься, лицо мужчины кривится в брезгливой гримасе.>> ##И ((это)), по-твоему, нынче сходит за учёного? Будь любезен, не топчи пол своей грязной обувью.||||
carto2|<<Он отворачивается и вздыхает.>> Что ж, раз уж ты здесь, может, от тебя будет какой-то прок. В Венне у меня было двенадцать слуг — а в этом гиблом месте никто и пальцем не шевельнёт, чтобы помочь. Может, ты не из таких, а?||||
carto3|Я Джованни Борри, из рода Борри. Мне предначертано великое — так говорит отец, — но покуда я всего лишь Главный Картограф этого жалкого места.||||
carto4|А, ты вернулся. И, как погляжу, притащил с собой ещё... ((грязи)).||||
carto5|Знаешь, от всех этих Инквизиторов мне странным образом уютно. Прямо как снова в Риове. А что такого? Мне нечего скрывать.||||
p51|Я хотел бы помочь с картографией острова.||||
carto6|А, превосходно! Помощь нам нужна любая. Нам непременно нужно впечатлить Совет нашим усердием, чтобы поднять мой... то есть ((статус Академии)).||||
carto7|Наши учёные уже наносят острова на карту динамическими шифр-картами местности. Но я хочу, чтобы карту украшали ещё и престижные ориентиры. Вот это уж точно покажет Совету, что мы настроены серьёзно, м? Что скажешь?||||
carto8|Возьми блокнот и посети следующие места: /LOCATIONS||||
carto9|loc2||||
carto10|loc3||||
carto11|Возвращайся, когда закончишь. Я заплачу за каждый, но за все сразу полагается щедрая награда.||||
p52|Какие места тебе нужны, ещё раз?||||
p53|У меня есть шифр-карты для сдачи. ||||
carto12|А, великолепно! Да-да, оставь их вон на столе, проверю, как выдастся минутка. ##<<Он бросает на стол несколько монет.>> Вот! Доволен, да? А теперь будь любезен, оставь меня в покое.||||
p54|Я нашёл все твои ((престижные ориентиры)).||||
carto13|<<Как только ты собираешься уйти, он жестом останавливает тебя.>> ##Постой-ка. Минутку. Кажется, ты отыскал ((все)) ориентиры!||||
carto14|Это поистине чудесно. Я знал, что на тебя можно положиться. С той самой минуты, как ты вошёл, я понял: ты человек ((качества)).||||
carto15|Прошу, прими это в награду. Я непременно упомяну твоё имя в докладе Совету — может, где-нибудь в сноске.||||
p55|Что Академия делает с картографией? ||||
carto16|По обыкновению — немного. Чёрная работёнка для флотских да торговых картографов. Но загвоздка жизни на плавучих обломках скалы в том, что они норовят сдвинуться с места — и старые карты делаются бесполезны. Вот Академия и работает над более ((изобретательным)) решением.||||
p56|Что, типа... магические карты?||||
carto17|Ага, ты на шаг впереди, я вижу. ##Поскольку центральные острова Союза Вероотступников удерживаются мощной магией, до недавнего времени не было особой необходимости в зачарованной картографии.||||
carto18|Видишь ли, эти Острова Грёз лежат на окраинах земель Союза. Они дрейфуют, сталкиваются друг с другом... даже раскалываются. Новые карты чертят и рассылают постоянно, но даже так — здесь капитаны не могут на них положиться.||||
carto19|Вот Академия и трудится над сетью шифр-заклинаний, чтобы отслеживать перемещения острова и обновлять карты ((мгновенно)). Довольно хитроумно, не находишь? Само собой, все мудрёные расчёты ведут здешние учёные. Я обеспечиваю... побуждение.||||
p57|Как ты стал Главным Картографом?||||
carto20|Ну, это забавная история. До этой должности к картам я был совершенно равнодушен. Мудрёные штуковины, не находишь? Все эти крошечные рисуночки, и так легко перевернуть их вверх ногами...||||
carto21|Кхм. Но когда отец решил, что мне нужен академический опыт для продолжения моей политической карьеры, единственная должность, которую он смог выбить, была Главного Картографа этого унылого места.||||
carto22|Честно говоря, я бы предпочёл быть Командиром Аэтеристов. По крайней мере, нейронные звёзды немного интереснее. ||||
carto23|Как бы то ни было, надо извлечь из этого лучшее, м? Я разослал наших младших учёных наносить на карту эти Острова Грёз. Пусть это унылое захолустье, но и здесь есть что открыть.||||
p58|Ладно, кажется, я понял. ||||
carto24|Рад это слышать.||||
p59|Ты видел что-то странное, или... ((запрещённое)) в последнее время?||||
carto25|Хм, что такое? Внезапный интерес к... добропорядочности нашего заведения? Не знай я тебя, решил бы, что та агентша Инквизиции прибрала тебя к рукам...||||
carto26|<<Он мельком улыбается.>> Впрочем, неважно. Между нами, я скорее предан Совету и его Инквизиции, нежели этим пыльным старым хрычам. Уверен, они попирают правила Союза направо и налево!||||
carto27|Я бы пригляделся к тому олуху-аэтеристу в башне. Вечно болтает о важности космоса да о том, как бороздил ночное небо ещё до того, как большинство из нас на свет появились. Если кто и нарушает правила, так это он.||||
newCarto1|Самый важный регион, который нам нужно нанести на карту, это [[Хэллоушир]]. Я отмечу эти места в твоём [[журнале]] - уверен, тот, кто их отметит, будет [[вознаграждён]]. ||||
cwkCarto1|<<Учёный нервно вздрагивает при твоём приближении.>> ##Слава звёздам, я уж думал, ты из прихвостней Короля. За тобой не следили по дороге сюда?||||
cwkCarto2|Как ты, несомненно, уже смекнул, моё присутствие на этом острове — дело строжайшей тайны. Инквизиция отчаянно нуждается в свежих сведениях из Королевства Механизмов, а у Академии есть и картографическое умение, и бездонная нужда в деньгах...||||
cwkCarto3|Так что сделку заключили, и вот я здесь играю в чёртов ((шпионаж)). За такое мне уж точно положена постоянная должность.||||
cwkCarto4|Ты не должен ((никому)) здесь проболтаться о нашем присутствии, понял?||||
cwkCarto5|Скажу тебе одно: наши старые кардованские карты ((безнадёжно)) устарели. Тут всё так переменилось, а я не смею сойти с этой платформы, чтобы не выдать себя Королю.||||
cwkCarto6|Самое очевидное — начать с города [[Феррополис]], прямо в центре острова. Пятьдесят лет назад это был просто шахтёрский посёлок, а теперь он, похоже, стоит на ((сваях)). Зато из него выйдет хороший ориентир.||||
cwkCarto7|Затем, на северной оконечности острова есть [[огороженный комплекс]]. Я не смог определить его назначение через все эти деревья, но это может быть какой-то склад или военный арсенал.||||
cwkCarto8|Наконец, я приметил внушительную [[сигнальную башню]] на дальнем востоке острова. Только действуй осторожно — там всё немного ((странно)). Готов поклясться, что разок видел, как лес ((пульсирует))...||||
cwkCarto9|Ты во владениях [[Короля Механизмов]] — колоссального двигателя шифрованной магии, что правит железной рукой. Я бы и сам не поверил, если бы не видел, на что он способен.||||
cwkCarto10|До Войны Богов этот остров звался [[Кардова]]. Мы ссудили местным несметную прорву золота, чтобы они свергли своего бога и выстроили верфь. А что получили взамен? Свору техно-монархических фанатиков, не отдавших свой чёртов долг.||||
cwkCarto11|С тех пор от них одни беды. Ясное дело, Союз не может закрывать глаза на такую магическую мощь; это всё равно что семилетка разгуливал бы с бочонком пороха. Одно время они даже метили аннексировать Хэллоушир.||||
cwkCarto12|Беда в том, что ничто не стоит на месте. Каждые несколько лет Король перекраивает ландшафт так же легко, как малыш перекладывает кубики. Вот почему Инквизиция и затащила нас сюда.||||
cwkCarto13|Вот только... никто не предупредил меня, что здесь будет такой ((бардак)). Ты видел эти безумные машины, что лязгают повсюду? А этот снег не по сезону? И куда подевались все ((люди))?||||
cwkCarto14|В смысле, что тут вообще, чёрт побери, ((творится))?||||
aeth1|<<Старик сгорбился в кресле, тяжело дыша. Каждый вздох отдаётся скрежетом сломанной машины. Внезапно дыхание обрывается. Ты ждёшь миг, потом другой...>||||
p71|Э-э... привет?||||
p72|((Проверить его пульс))||||
aeth2|ХЕЕЕУУУРГХ! <<Он резко вскидывается, глаза глядят из вороха морщин.>> ##Какова целостность корпуса? Мы сошли с орбиты?||||
p73|Э-э, я думаю, целостность корпуса... в порядке?||||
p74|О чём ты говоришь?||||
aeth3|<<Он замирает на мгновение, моргая.>> ##Ах, извини. Думал, я снова в космосе, хе-хе.||||
aeth4|Я Жером Веррье, Главный Аэтерист этого места. Рад познакомиться. Так, ты хочешь отправиться в космос, или что? ||||
aeth5|А, снова ты! ##...погоди, ((кто)) ты, напомни?||||
p75|Э-э, я бы очень хотел отправиться в космос. Очень. ||||
aeth6|t1||||
aeth7|t2||||
aeth8|t3||||
aeth9|t4||||
aeth10|t5||||
p76|Можешь напомнить, как добраться до космической заставы?||||
p77|Я доплыл до космической заставы. ||||
aeth11|t1||||
aeth12|t2||||
aeth13|t3||||
p78|Так что такое аэтерология?||||
aeth20|Аэтерология — это изучение эфира. Благородное искусство, одно из древнейших. Мы следим за нейронными звёздами, созерцаем красоту бесконечного космоса — и даже сами странствуем туда.||||
aeth21|Но этот новомодный Союз охотнее сыплет золото на магию попроще. Шифр-заклинания на потребу торговле, войне, экспансии. Молодёжь нынче глядит в кошельки, а не на звёзды.||||
p79|Как долго ты был аэтеристом?||||
aeth22|<<Он посмеивается.>> Вот это вопрос. ##Ещё до Войны Богов, до самого образования Союза Вероотступников, я был аэтеристом в Бьонне. Стал капитаном своего первого космического корабля, не дожив и до двадцати, — представляешь?||||
aeth23|Посещать космос — дело опасное. Воздух там до крайности разрежен; шифр-печати должны держать корабль воедино и не давать утечкам. Хитрые заклинания перерабатывают воздух. Одно дурное заклинание, один изъян в шифре — и весь твой экипаж может погибнуть.||||
aeth24|Но о! Эта красота, это величие! Быть там, своими глазами видеть, как трепещет и пульсирует нейронная сеть. Ничто с этим не сравнится.||||
p80|Что ты можешь рассказать мне о космосе?||||
aeth25|Когда ты покидаешь атмосферу планеты, ты видишь это: Нейронную сеть. ((Космос.))||||
aeth26|На этой планете у нас сотни нейронных звёзд, как ты знаешь. Та, что здесь, вращается вокруг этих островов каждые двенадцать часов и светится красным. Другие светятся синим, жёлтым, фиолетовым; разных размеров и орбит, по всему миру...||||
aeth27|И все они соединены синапсами. Но эти синапсы тянутся и дальше — к нейронной сети, к космосу. И когда ты видишь это? Там не просто сотни нейронных звёзд, нет! Они застилают весь взор. Им нет конца.||||
aeth28|Магией мы заглянули в самую ткань наших черепов. Наш разум выглядит точь-в-точь как космос. Жутковатое сходство. Мы спорим о том, что это значит, уже сотни лет, но, право слово? Я знаю не больше твоего.||||
p81|Ты видел какие-то признаки... ((коррупции)) в Академии?||||
aeth29|Коррупция? Ха! Этот Джованни Борри продажен до мозга костей. У него друзья в высоких кругах — лишь поэтому он и здесь.||||
aeth30|Они сделали его Главным Картографом, а этот молодой болван не отличил бы карту, даже если б пялился прямо на неё. Он бы ею, поди, зад подтёр. А теперь разослал всех наших младших учёных на какую-то дурью затею...||||
engi1|<<Женщина возится с маленьким кристаллом, нахмурив брови. Она постукивает по нему стилусом — тот вдруг вскипает магической энергией, и она, чертыхнувшись, роняет его.>>||||
engi2|Чёрт! ((Ты)) сбил мне сосредоточенность. Теперь часами это перекалибровывать.||||
engi3|<<Она недовольно зыркает на тебя.>> Но раз уж ты здесь, можешь и пользу принести.||||
engi4|Я Наталья, здешний Главный Инженер. ##А теперь скажи-ка — как тебе перемещаться куда угодно в мгновение ока?||||
engi5|<<Наталья поглощена сложным кристаллическим устройством.>> ##С возвращением. Давай покороче, у меня дел невпроворот.||||
p91|Мгновенное путешествие? Я за.||||
engi6|Вот это дух. Видишь эту большую камеру здесь? Я привезла её с островов внизу. Это портальная камера. ||||
engi7|Это технология из этой Академии, но на самом деле она довольно старая. Академия Эрудитов много перемещается, и, кажется, один из моих предшественников пытался создать портальную сеть на этих самых островах давным-давно.||||
engi8|Похоже, они так и не заставили её работать, но я думаю, что нашла недостающее звено. Я откалибровала кристалл, чтобы он действовал как ключ. Он должен активировать порталы и позволить безопасно путешествовать. Но мне просто нужно, чтобы кто-то протестировал это...||||
p92|Звучит опасно.||||
engi9|Опасно? Пфф. Вероятность, что портал разорвёт тебя на части и разбросает конечности по разным континентам, э-э, довольно мала. Наверное.||||
p93|Конечно, я сделаю это. ||||
engi10|Вот это я и хотела услышать! Видишь этот кристаллический ключ?## <<Она показывает сверкающее устройство — союз часового механизма и кристалла — и передаёт его тебе.>>||||
engi11|Он позволит тебе активировать портальные камеры. После активации ты сможешь телепортироваться к любому из других порталов, которые ты нашёл.||||
engi12|Единственная проблема в том, что я нашла только ((один)). Но записи Академии говорят, что их должно быть много, разбросанных по острову. ||||
engi13|Тебе не нужно находить их ((все)). Если ты сможешь связать [[этот]] с портальной камерой в [[Землях Вечных]] и ещё одной в [[Королевстве Механизмов]], я вознагражу твои усилия. ||||
p94|Я откажусь, спасибо.||||
engi14|Это твой выбор, но ты упускаешь ((историю)), друг. ||||
p95|Можешь напомнить мне об этих порталах? ||||
engi15|Без проблем. Этот кристаллический ключ, который я дала тебе? ||||
p96|Я активировал эти порталы для тебя. ||||
engi16|Серьёзно? Отличная работа! И, полагаю, ты всё ещё цел? Ни одной оторванной конечности? Ого, кто бы мог подумать, что эти старые железяки и впрямь ((работают?))||||
engi17|...э-э, то есть, ((конечно)) же работали. И я тебе несказанно благодарна за то, что ты их отыскал. Вот, держи — это меньшее, чем я могу отплатить.||||
p97|Как ты оказалась в Академии?||||
engi18|Что, по мне не скажешь, что мне тут место? <<Она ухмыляется.>>||||
