NPC Name:|EndlessMines||||
lord14|Мой друг, я ждал вашего возвращения! Мне уже сообщили о вашем успехе.##Обещание есть обещание; вот ваша награда.||||
lord14alt|Так это вы освободили мои шахты! Честь познакомиться.##Я приготовил для вас награду.||||
lordp10|Спасибо, мой лорд.||||
lordp11|@@Этой суммы едва ли достаточно.||||
lord15fail|&&Хмпф. Я и так был весьма щедр.##Немного такта и достоинства не помешали бы!||||
lord15succ|%%А вы умеете торговаться, дышащий? Ха, что ж, хорошо! Я восхищаюсь предприимчивой молодежью.##Возьмите. Год выдался отменный.||||
lord16|Мой дорогой друг! Как приятно вас видеть.##Возможно, вы слышали? Мои шахты скоро возобновят работу. Я нанял группу молодых людей, чтобы во всем разобраться. Говорят, это случится со дня на день.||||
lord17|Руда сейчас стоит баснословных денег в [[Королевстве Механизмов]]. Я скоро верну свое состояние.||||
lordp12|Что будет с культистами кристаллов?||||
lord18|Мятежниками, вы имеете в виду? Всех оставшихся четвертуют.||||
lord19|Я готовлю отряд наемников именно для этого.##Они должны быть готовы в течение недели.||||
lordp13|Шахты теперь принадлежат [[нам]].||||
lord20|<<На его лице поровну потрясения и недоверия>>##О чем вы, черт возьми, говорите, мешок с плотью?! Я владею правами на эту землю еще с тех пор, когда ваш прадед на свет не родился!||||
lord21|Эй, вы! А ну выкладывайте! Что вам известно о моих шахтах?##Я владею правами на эту землю еще с тех пор, когда ваш прадед на свет не родился!||||
lordp14|Мне жаль.||||
lord22|<<Он закатывает глаза.>>##Вы ((сожалеете))!? Мне даже нет до вас дела!||||
lordp15|Забудьте о шахтах.||||
lord23|Вы, должно быть, шутите! Мои шахты составляют большую часть моего состояния! Вы хотите, чтобы я зачах и умер, как оборванный бродяга, скитающийся в дикой местности?||||
lordp16|<<[Убить]>> Узрите [[силу]] нашей богини!||||
lord24|<<При этом призыве тело дворянина стремительно кристаллизуется. Он едва успевает вскрикнуть, прежде чем его легкие каменеют.>>||||
lordp17|Мне больше нечего вам сказать||||
res0|<<Житель царапает болезненный кристаллический нарост, выступающий из его левого глаза...>>||||
res1|Я просто хочу, чтобы этот кошмар закончился.||||
resp1|Что случилось?||||
res2|Аааа! Я чувствую это в своем лице. [[Она]] внутри меня, выползает наружу!||||
resp2a|Женщина... внутри вас?||||
res3a|Обрывки многих людей разом. Она наполняет мое лицо острыми гранями.||||
res4|Держитесь подальше от [[шахт]].##Она хочет расти...||||
resp2b|Вы говорите о кристаллах в шахтах.||||
res3b|Вы знаете, откуда берутся эти кристаллы? Они все кричат от боли...||||
resp3|Кто вы?||||
res5|<<Этот вопрос сильно расстраивает его, и он начинает хныкать.>>##Кто я был? Возможно... нет, это не может быть правдой... ||||
res6|Думаю, я был мастером... или шахтером? Или я был солдатом?##Я помню, как был маленьким мальчиком, когда пришли Крестоносцы и... Нет. Должно быть, я была его матерью.... Но это тоже не мог быть я...||||
res7|Некоторые из этих воспоминаний не мои...||||
resp4|Я посмотрю, что могу сделать...||||
res8|Думаю, я действительно умираю на этот раз. Мне так страшно.||||
resLaw1|<<Он плачет от благодарности. Кристаллы на его лице сошли>> Спасибо вам огромное... Не могу поверить, что все кончается.||||
resLaw2|Прошу, возьмите это! Хоть я и знаю, что это мелочь...||||
resp5|Берегите себя.||||
resChaos1|Теперь я понимаю. Каково это — быть без линий и границ собственного «я».||||
resChaos2|Не важно, чья это была боль, — она принадлежит всем.||||
serv1|Это священное место. Вам здесь быть не должно. Мои братья и сестры убьют вас.||||
serv2|Вам лучше уйти. [[Она]] знает, что вы такое и зачем сюда явились.||||
servp1|И в чем же вы меня подозреваете?||||
serv3|Мы не подозреваем. Мы просто знаем.##Наша госпожа являет истину с безупречной точностью.||||
servp2|Что случилось с этими [[шахтами]]?||||
serv4|Шахты? Вас ослепило темное проклятие? Это не шахты. Они больше похожи на нутро плодоносного яйца.||||
servp3|Кто ваша [[госпожа]]?||||
serv5|Моя госпожа — та, кто спасет этот проклятый регион.||||
serv6|Она исцелит нас от тяжести, которую мы так долго несли.||||
servp4|Кто вы?||||
serv7|Кто я ...?##... Боюсь, я не понимаю хода ваших мыслей.||||
servp5|Мне нужно идти.||||
servLaw1|<<Они рыдают от непреодолимой скорби. В них больше нет сил бороться.>>||||
servChaos1|Вы стали частью нас! Воистину, Ее сила чудесна.##О, торжество! О, блаженство!||||
servChaos2|Выйдете ли вы за пределы этого яйца? Покинете Ее чрево, чтобы разнести Ее истину?##Прошу, возьмите это с собой.||||
wrkr1|Потрясающе. Теперь все проясняется. Как чудесно. Я вижу.||||
wrkrp1|Кто вы?||||
wrkr2|Когда-то я была ребенком. Многими детьми. Мы совершали злодеяния, которые невозможно искупить. Но теперь все это Ее воспоминания.||||
wrkr3|Тысяча взглядов, преломленных сквозь нее.##Мы помним, как нас пожирали; помним, как умирали. Но помним и то, как пожирали сами.||||
wrkr4|Вот что на самом деле внутри этих кристаллов, знаете ли. Старые раны.||||
wrkr5|Но Она милосердна — являет истину даже такому ничтожеству, как я.||||
wrkrp2|Что вы видите?||||
wrkr6|Тело, слитое воедино. Абстрактная геометрия и структура.##Совершенное в своей форме, пропитанное скорбью, ни с чем не сравнимой.||||
wrkr7|Истинная форма божественного; великий континуум всего сущего.||||
wrkrp3|[[Она]] — богиня?||||
wrkr8|Однажды Она станет ею. Скоро, возможно.||||
wrkrp4|Чего хочет [[Она]]?||||
wrkr9|<<Она замолкает, словно прислушиваясь к ответу.>>##Это... не так просто. Их в ней так много.||||
wrkr10|Она хочет спасти нас от нашей жестокой судьбы.##Мы, Вечные, все скованы этим великим страданием; гнем спины в краю без богов. Вечный траур на острове могил.||||
wrkr11|Трагедия Крестовых походов нависает над этим островом, словно тяжкий приговор.||||
wrkr12|Но... есть что-то еще. Это трудно объяснить.||||
wrkr13|Она тоже хочет исцелиться... Больше того — она хочет вырваться.##В ней таится ярость, почти как у загнанного зверя или человека в клетке.||||
wrkr14|<<Она стоит в благоговении перед открывшимися ей видениями.>>||||
wrkrLaw1|Я больше не вижу этого. Гобелен творения снова скрыт.||||
wrkrLaw2|Наш божественный свет; куда Она ушла?##Эти пещеры так темны без нее...||||
keyb1|<<Он пробуждается от медитативной молитвы.>>||||
keyb1b|Да будете вы благословлены.||||
keybp1|@@Я здесь, чтобы показать свою преданность.||||
keyb2fail|&&<<Он смотрит на вас и закрывает глаза. После долгой паузы он молча качает головой в знак отказа.>>||||
keyb2succ|%%<<Он смотрит на вас и закрывает глаза. После долгой паузы он кивает головой в знак согласия.>>##<<Он молча отпирает ворота в [[гимническую палату]]>>||||
keybp2|Кто вы?||||
keyb3|Я — акушерка нашего нового бога.||||
keyb4|[[Скульптор]] доверила мне охрану [[гимнической палаты]].||||
keybp3|Расскажите мне о [[гимнической палате]].||||
keyb5|Гимническая палата находится за этими воротами. Это место священных ритуалов.||||
keyb6|Нашей верой Ее мечта становится возможной.##А Ее мечтой — все мечты.||||
keybp1alt|Я здесь, чтобы показать свою преданность.||||
keybp4|Прощайте.||||
keyblaw1|Вы все испортили, жалкий червь. Теперь ничто не может нам помочь...||||
keyblaw2|Пусть вас постигнет великое несчастье.||||
keyblawp1|@@Вы побеждены. Пропустите меня.||||
keyblawsucc|%%...Впрочем, мне уже все равно.##<<Он открывает ворота, на лице — печать поражения.>>||||
keyblawfail|&&<<Он плюет вам в лицо.>>||||
keybchao1|Добро пожаловать, собрат. Да будете вы благословлены.||||
keybchao2|Конечно, собрат.##<<Он открывает вам путь.>>||||
pris1|Спасибо, что освободили меня! Я думал, что мне конец!||||
prisp1|Кто вы?||||
pris2|Я Инквизитор MCCXVII из Союза Вероотступников. К вашим услугам.||||
prisp2|Что делает Инквизитор в этих шахтах?||||
pris3|Нас было четверо, посланных расследовать возможную божественную сущность класса C.||||
pris4|Но я отбился от остального трибунала и попал в плен.||||
pris5|Я не знаю, что стало с моими товарищами...||||
pris6|Мы не смогли нейтрализовать божественную сущность. Наша миссия обернулась полным провалом...||||
prisp3|Я могу помочь.||||
prisp4|Извините...||||
pris7|Да, отлично! [[возьмите это!]]##Это [[призма терминуса]]. Она способна убить божественную сущность вроде этой.||||
pris8|Вы сможете все это исправить!||||
prisp5|@@Мне нужны любые припасы, которые вы спрятали.||||
prissucc|%%Конечно! Эти защитные зелья я держу про запас, на крайний случай.||||
prisfail|&&Я... боюсь, они забрали все, когда меня схватили.##Да и потом, мне еще самому отсюда выбираться...||||
prisp6|Эта [[призма терминуса]]... она может убить бога?||||
pris9|Только на зарождающиеся божественные сущности вроде этой, что проходят [[апофеоз]].##На сущности постарше [[Призма]] уже не действует.||||
pris10|Прежде чем мы разделились, мой трибунал установил, что эта [[кристаллическая сущность]] уже на продвинутой стадии апофеоза.||||
pris11|На этой стадии божественная сущность все еще податлива воображению своих последователей.##Вот как [[призма]] ее и убивает.||||
prisp7|Что вы будете делать теперь?||||
pris12|Я отправлюсь на поверхность, как только подвернется случай.##Сражаться я не в состоянии, так что придется как-то проскользнуть...||||
scul1|Я — [[скульптор]], Люсия.##[[Кристальная богиня]] сказывала мне, что ты придешь.||||
scul2|Ну. И чего ты задумал?||||
sculp1|Это вы изваяли?||||
scul3|Ага, я первой ее расслышала сквозь каменные стены.##Такой залежи чистого кристалла никто из нас сроду не видывал.||||
scul4|Я знала, какую форму Ей нужно принять. Будто с этим знанием и родилась. Вот и принялась резать тайком...||||
sculp2|Я здесь, чтобы поклясться в верности [[Кристальной Богине]].||||
scul5|<<Она широко ухмыляется.>>##Рада слышать.||||
scul6|Чтобы скрепить узы, встань перед [[Ней]] и поклянись в преданности.##<<Люсия показывает вам череду>> [[ритуальных жестов]] <<нужных, чтобы скрепить пакт.>>||||
scul7|Когда будешь готов, встань перед [[Кристальной Богиней]] и поклянись в верности.||||
sculp3|Вы должны положить конец этому безумию!||||
scul8|Да о чем ты, черт дери, дышащий? «Безумие»?! Ты, никак, шутишь!||||
scul9|Века в этой безбожной земле, спину гнуть в шахтах без выхода. Жрать поддельную плоть, что твоя скотина. Вот это безумие.##Кровавые [[Крестовые походы]]! ЭТО было безумием!||||
scul10|Девчонкой меня учили на скульптора. До крестовых походов. А выживать пришлось в шахте.##Мечты, что умерли тогда, так и не сгинули. Я все таскала на себе этот гнилой груз.||||
scul11|Каждый Вечный знает это чувство. Вот почему [[Она]] пришла к нам.##Знал бы ты — сам бы зачах, прежде чем назвать это безумием.||||
sculp4|Простите меня. Я хочу следовать за [[Кристальной Богиней]].||||
scul12|<<Люсия смотрит вам прямо в глаза, взвешивая вашу искренность.>>||||
scul13|Ага. Так и быть.||||
scul14|<<Люсия настороженно наблюдает за вами.>>||||
scullaw|[[Нет!]] Как ты мог?!##Проклятый ублюдок! [[Я тебя прирежу!]]||||
scullawp1|Против меня у вас нет ни шанса.||||
scullaw1|<<Люсия кричит от ярости. Ее голос дрожит магией, впитавшейся в ее тело.>>##Ну так убей! Все едино!||||
scullawp2|У меня не было выбора. Я пытаюсь спасти вас.||||
scullaw2|Спасти меня?! Я тебя убью!!||||
scullawp3|Простите меня! Это был несчастный случай.||||
scullaw3|<<Люсия плюет в вашу сторону.>>##Лживый червь!||||
sculchao1|Добро пожаловать, собрат.||||
sculchao2|Передумал, значит? Прости за резкие слова. Теперь мы с тобой собратья.||||
sta1|<<Вы стоите под затейливой кристаллической статуей. От нее исходит несомненная психическая тяжесть.>>||||
stap1|<<Разбейте статую...>>||||
sta2|<<Вашему оружию и магии не оставить и царапины на твердом кристалле статуи.>>##<<Вы задумываетесь: нет ли иного пути, кроме грубой силы, — и не стоит ли обыскать шахты получше.>>||||
stap2|<<Используйте>> [[призму терминуса]] <<чтобы очистить статую...>>||||
sta3|<<Вы держите >>[[призму терминуса]]<< в руке, но прежде чем поднять ее, задумываетесь:>>##<<Вы уверены, что хотите этого? Богиню >>[[нельзя восстановить.]]||||
stap3|<<Поднимите призму и>> [[убейте богиню...]]||||
sta4|<<Кажется, комната совсем затихает. Потом раздается пронзительный звук, расходящийся по кристаллам.>>##<<Статуя начинает осыпаться.>>||||
stap4|<<Обдумайте все заново...>>||||
stap5|<<Полюбуйтесь статуей...>>||||
sta5|<<Изваяна изумительно: расположение каждой руки и ноги явно полно глубокого смысла для художницы.>>||||
sta6|<<Точно такое же лицо выглядывает меж Ее ног, словно рождаясь. В уме проносится слово «саморожденный».>>||||
sta7|<<Чем дольше вы смотрите, тем сильнее восхищение. Не только художницей и ее творением, но и самой Кристальной Богиней — и всеми глубинами, что она несет в себе.>>||||
stap6|<<Поклянитесь в верности Кристальной Богине...>>||||
sta8|<<Прежде чем выполнить>> [[ритуал]] <<которому научила вас Люсия, вы задумываетесь:>>##<<Вы уверены, что хотите этого?>>##<<Такой пакт>> [[нельзя разорвать.]]||||
stap7|<<Выполните [[ритуальные жесты]] и посвятите себя [[Кристальной Богине...]]||||
sta9|<<В уме проносятся видения геометрических нитей, что сходятся в сердце статуи.##Безупречные сети тянутся во все стороны, вплетаясь в жилы окрестной породы.>>||||
sta10|<<Вы видите космическую целостность, собранную воедино через нее.>>||||
sta11|<<Богиня тоже видит вас — тем своим ласкающим взором.##Она видит все.>>||||
sta12|Дитя мое прекрасное.##Ты сохранишь себя, ибо у тебя иное предназначение. Я уготовила тебе роль еще более тонкую в гобелене.||||
sta13|Теперь я поведу тебя. Возьми это с собой##<<Вы чувствуете, как что-то шевелится в вашей сумке...>>||||
sta14|<<Заглянув внутрь, вы находите небольшой сверток, аккуратно завернутый в лепестки цветов.>>||||
sta14alt|<<Заглянув внутрь, вы обнаруживаете, что >>[[призма терминуса]]<< — которую дал вам пленный инквизитор — разбита.##Среди осколков лежит небольшой сверток, аккуратно завернутый в лепестки цветов.>>||||
stap8|Спасибо.||||
stap9|<<Уйдите...>>||||
stachao1|<<Вы стоите под защитницей, которой принесли клятву, — >>[[Кристальной Богиней.]]<< Теперь Она вершит вашу судьбу.>>||||
