J| if parent matches ID, it's a task, not a stage.  (6) REQ'D STAGES: break up with commas Requires the player to have one of these as their active stage. Rarity: 0-poor,1-common,2-fine,3-shroom,4-cwk,5-void. if removeRarity is left blank it does not require rarity. (13) Needs item will only check the first req'd item. (14) removeItem(s) will create a list. They will ALL use the same itemRarity, if applicable. NEW:l IF REMOVING KEY ITEM WHICH IS STACKABLE, TASK WILL NOW REMOVE WHOLE STACK. IF WE EVER NEED TO REMOVE 1 SINGLE STACKABLE KEY ITEM WE NEED TO ADD A NEW FIELD OF ITEM AMOUNT.|||||||||||||||||||||||
0: ID|1: parent|2: spriteID|3:startsTask|4:completes|5:ignoreHchy|6:req'dStages|7:trueFacts|8: falseFacts|9:keyItemNeeded|10: itemID|11: itemRarity|12: coin|13: glimmer|14:needsItem|15:removeItem(s)|16:remveRarity|17:FactionEnums|18:FactionInts|19:sortNum|20: English|21: French|22: German|23: Spanish|24: Italian
100|mainQuest|||||||||||||||||||The High Confessor has tasked you with venturing into the [[Underlands]] in your pursuit of Vela Callose, but the cutter crash landed on arrival. ##You must make your way through the Underlands and apprehend Vela. ||||
110|mainQuest||||||StabbedByVela,SpokenToHighC_AfterVela|||||||||||||You confronted Vela Callose in the Underlands, but she ran you through with her blade - causing you to be plucked from near-death by your guardian-god. ##You should report to the High Confessor back at the Blinding Light.||||
120|mainQuest|||||||||||||||||||Vela Callose has commandeered the Cradle - an ancient Embieran craft that harbours a powerful entity. ##No vessel can pierce its protective shielding, so you must obtain an [[airship]] and explore the [[distant islands]] for a means to upgrade the cutter. ||||
130|mainQuest||||||HC_BriefedForFinalMission|HC_ReadyForFinalMission||||||||||||Vela Callose has commandeered the Cradle - an ancient Embieran craft that harbours a powerful entity. ##You've upgraded the cutter with the Rasmussen Sphere, allowing you to mount an assault. Speak with your Dark Star comrades and, when ready, activate the cutter's [[control panel]]. ||||
140|mainQuest|||||||||||||||||||You have mounted an assault on the Cradle with your Dark Star companions. ##Make your way past the Dark Star mercenaries and confront Vela Callose for the final time.||||
150|mainQuest|||Yes||||||||||||||||It has been a long journey, but you have finally thwarted Vela Callose - the most powerful outlaw in the skyrealms - and have confronted the Angel she unearthed from the Underlands.||||
cradle|cradle|FactionInq|||||||||||||||||0|Cradle Assault||||
10|cradle||Yes|||||||||||||||||You have launched an assault on the Cradle. ##Having reached the front dock with the cutter, you must make the rest of the way on foot. ||||
20|cradle||Yes|||||||||||||||||You have launched an assault on the Cradle, and must now find a way inside the structure. ##The main entrance is impenetrable, but Caxton Frost had planned to find some sort of back entrance; you should rendezvous with him.||||
30|cradle|||||||||||||||||||You have launched an assault on the Cradle and must now find a way inside the structure. ##Caxton Frost has found a way through an aeration pipe, but the turbine must be disabled. He has told you to find a [[fail-safe switch]] on the lower levels, below where the cutter docked. ||||
40|cradle|||||||||||||||||||By using the fail-safe switch, you have disabled the [[turbine]] of an aeration pipe, which should grant access to the Cradle's main structure. ##You should take an elevator back to the [[main level]] and [[access the pipe.]]||||
45|cradle|||||||||||||||||||By using the fail-safe switch, you have disabled the [[turbine]] of an aeration pipe, which should grant access to the Cradle's main structure. ##You found that some of your companions, however, did not survive.||||
50|cradle|||||||||||||||||||You have gained access to the Cradle's main structure. ##You need to find a way through, so as to confront Vela. ||||
60|cradle|||||||||||||||||||You have gained access to the Cradle's main structure. ##A holographic entity told you that the Angel has replicated itself - and this smaller Angel Spawn blocks your path. But If you find four [[override switches]] scattered around the Cradle, you may be able to disable it without a fight. ||||
70|cradle||||||AngelSpawnDefeated|||||||||||||Having gained access to the Cradle's main structure, you have managed to defeat a replicated spawn of the Angel in combat. ##Nothing now stands between you and Vela. ||||
75|cradle||||||AngelSpawnDefeated|||||||||||||Having gained access to the Cradle's main structure, you have managed to defeat a replicated spawn of the Angel by overriding the power relay system. ##Nothing now stands between you and Vela. ||||
78|cradle||Yes||||VelaHostile|||||||||||||In the depths of the Cradle you have found Vela - but she won't go down without a fight. ||||
80|cradle||||||VelaPersuaded|||||||||||||In the depths of the Cradle you found Vela, and you managed to convince her to stand down. ##Now, all that remains is to confront this so-called Angel. ||||
82|cradle||||||VelaBeaten|||||||||||||In the depths of the Cradle you found Vela, and you managed to defeat her in combat. ##Now, all that remains is to confront this so-called Angel. ||||
85|cradle|||||||||||||||||||In the depths of the Cradle - with Vela no longer a threat - all that remains is to confront this so-called Angel. ||||
90|cradle|||Yes||||||||||||||||You conversed with the Angel - an entity more powerful than even a god - and have decided the very fate of the world. ||||
underlands|underlands|FactionInq|||||||||||||||||4|Underlands||||
10|underlands||Yes|||||||||||||||||You have arrived at the Underlands to confront Vela Callose. ##Your cutter has crashed, and the air is thick with a deadly miasma. You must press on.||||
20|underlands|||||||EmberianUnderFollow||||||||||||You are making your way through the Underlands to confront Vela Callose. ##There is an autocoach station that may grant swift access into the city; you should investigate.||||
30|underlands|||||||||||||||||||You are making your way through the Underlands to confront Vela Callose. ##There is an autocoach station that may grant swift access into the city, but the autocoach needs some sort of [[key]]. Your only hope is to search the [[mushroom forest]] below.||||
35|underlands|||||||||||||||||||You are making your way through the Underlands to confront Vela Callose. ##There is an autocoach station that may grant swift access into the city, and you have procured a [[autocoach key]]. You should rendezvous with the rest of your crew at the station. ||||
40|underlands|||||35||||||||||||||You are making your way through the Underlands to confront Vela Callose. ##There is an autocoach station that may grant swift access into the city, and you have procured a [[autocoach key]]. You should use it with the [[autocoach controls]]. ||||
50|underlands|||||40||||||||||||||You are making your way through the Underlands to confront Vela Callose. ##You have activated an autocoach that should take you into the ruined city ahead. ||||
60|underlands|||||||EmberianUnderFollow||||||||||||You are making your way through the Underlands to confront Vela Callose. ##You have arrived in the dense urban ruins of a former Emberian city. You must press ahead and find a way to reach Vela. ||||
70|underlands|||||||EmberianUnderFollow||||||||||||You are making your way through the Underlands to confront Vela Callose. ##You have found a large amphitheatre structure with an autocoach at its peak, but there is no way up from this level. You may have to venture downwards in order to find a way up. ||||
80|underlands|||||||EmberianUnderFollow||||||||||||You are making your way through the Underlands to confront Vela Callose. ##You have descended into the long-abandoned slum district; perhaps there is a way to ascend one of the nearby sky-scraping structures?||||
90|underlands|||||||EmberianUnderFollow||||||||||||You are making your way through the Underlands to confront Vela Callose. ##You have ascended to the top of some exceptionally tall structures. You should make your way to the [[autocoach]] at the top of the tallest building. ||||
100|underlands|||||||||||||||||||You are making your way through the Underlands to confront Vela Callose. ##You have reached the Cradle, a truly vast structure. You should venture inside and confront Vela Callose. ||||
110|underlands|||||||||||||||||||You are making your way through the Underlands to confront Vela Callose. ##You have reached the Cradle, a truly vast structure. You should venture inside and confront Vela Callose. ||||
120|underlands|||Yes||||||||||||||||You confronted Vela Callose in the underlands, before she ran you through with her sword.||||
charMentor|charMentor|FactionDarkStar|||||||||||||||||6|The Quartermaster||||
10|charMentor||Yes|||||||||||||||||You've been tasked with meeting Vela's former quartermaster in the Wobbly Noggin pub in Hallowshire, past the Union gatebridge. ##He has information relating to your hunt for Vela.||||
20|charMentor||Yes|Yes|||NeedToReportBasalt|||||||||||||You've successfully recruited Jack Basalt in your hunt for Vela. ##He has returned to Vela's fortress, the Blinding Light.||||
charEmberian|charEmberian|FactionDarkStar|||||||||||||||||7|The Emberian||||
10|charEmberian||Yes||||LookingForEmberian|||||||||||||Jack Basalt has told you of the 'Emberian' - a former Dark Star mercenary who wears a full suit of ancient Emberian armour. ##Before you recruit her, you have to find her first. You should ask around Hallow Town; perhaps the shopkeepers have seen her.||||
20|charEmberian|||||||||||||||||||You must recruit the 'Emberian' - a former Dark Star mercenary who wears a full suit of ancient Emberian armour. ##The Innkeep of the Wobbly Noggin thinks she is staying in the forest, to the west. Perhaps someone else knows more. ||||
30|charEmberian|||||||||||||||||||You must recruit the 'Emberian' - a former Dark Star mercenary who wears a full suit of ancient Emberian armour. ##The shopkeep in the Emporium of Oddities thinks she is camping in the forest to the west, near a giant rusty turbine.||||
40|charEmberian||Yes||||LookingForEmberianKey|LookingForEmberian||||||||||||You have spoken with the Emberian in her camp in the Hallowshire forest, but she refuses to help you. ##Perhaps you can glean more information about where she's headed next, either from her - or from her camp.||||
50|charEmberian|||||40|LookingForEmberianKey|LookingForEmberian||||||||||||You have spoken with the Emberian, who refuses to help you. ##But you've found a note that points to a shop with a crystal spire, where she purchased some sort of key. You should find this shop.||||
55|charEmberian||||||LookingForEmberianKey|LookingForEmberian||||||||||||You have spoken with the Emberian, who refuses to help you. ##She's headed to the Emberian ruins in Rustburg, with a key that she purchased from a shop with a crystal spire. You should find this shop.||||
60|charEmberian||||||NeedToBuyEmberianKey|LookingForEmberianKey||||||||||||If you're going to follow the Emberian on her quest, you need a specific key. ##The Emporium of Oddities in Hallow Town has one - but the shopkeep won't let it go for less than twenty coin. ||||
70|charEmberian||Yes|||||NeedToBuyEmberianKey|rustburgKey|rustburgKey||||||||||You've obtained a key that will let you follow the Emberian. ##It unlocks the Emberian ruins in the town of Rustburg, located in southeast Hallowshire. ||||
80|charEmberian||||||||rustburgKey|||||||||||You've found the town of Rustburg in southeast Hallowshire. ##Your key should unlock an old ruin somewhere in the town, which is exactly where the Emberian is headed... ||||
90|charEmberian|||||||||||||||||||You found the Emberian in the Rustburg ruin, resting by a sealed door. Perhaps you can help her unlock it... ||||
100|charEmberian|||||||||||||||||||You unlocked the sealed door in the Rustburg ruin. ##Perhaps, with her quest complete, the Emberian will be more amenable to helping you. ||||
110|charEmberian|||Yes|||||loreBoost|loreBoost|||2|||||||You have successfully recruited the Emberian to your cause, and she has joined you in Vela's old fortress, the Blinding Light. ||||
120|charEmberian|||Yes|||EmberianRevengeVela,NeedToReportOrlaith||loreBoost|loreBoost|||2|||||||You have successfully recruited the Emberian to your cause, and she has joined you in Vela's old fortress, the Blinding Light. ##You convinced her to seek revenge against her former comrade, Vela. ||||
130|charEmberian|||Yes|||EmberianReconcileVela,NeedToReportOrlaith||loreBoost|loreBoost|||2|||||||You have successfully recruited the Emberian to your cause. ##You convinced her that there may be some way to reconcile with Vela.||||
140|charEmberian|||Yes|||EmberianOpposedToPlayer,NeedToReportOrlaith||loreBoost|loreBoost|||2|||||||You have successfully recruited the Emberian to your cause, but she does not agree with your professed motives of helping Vela.||||
charEndless|charEndless|FactionDarkStar|||||||||||||||||8|The Endless Duchess||||
0|charEndless|||||||||||||||||||You've heard of a Dark Star mercenary known only as 'The Duchess'.||||
10|charEndless||Yes||||LookingForDuchess|||||||||||||Jack Basalt has told you of the 'Duchess' - one of Vela's former crew who is a powerful Endless witch. ##Basalt thinks she has returned to her ancestral home in the Endless Realm; you should start there.||||
20|charEndless||Yes||||LookingForDuchess|||||||||||||In your search for the Duchess, you've learned that the former Dark Star resides in her family manor at the southern edge of the Endless Realm.||||
30|charEndless||Yes||||LookingForDuchess|||||||||||||In your search for Vela's comrades, you've learned that a former Dark Star - The Duchess - resides in her manor at the southern edge of the Endless Realm. ##You have spoken to her groundskeeper, who warned that skeletons and magical puzzles block the way. ||||
35|charEndless||Yes||||LookingForDuchess|||||||||||||In an abandoned manor on the southern edge of the Endless Realm, you found a witch who could be Vela's former comrade; the Duchess. ##You should speak with this witch and find out more. ||||
40|charEndless||Yes||||SpokenToDuchessManor,LookingForFleshBroker|LookingForDuchess||||||||||||You've spoken to the Duchess, who has promised to help you hunt down Vela if you recover her daughter. ##You must meet with a contact in the Rotten Coffin in Sepulchre, who wears a full suit of armour. He can help you further. ||||
45|charEndless|||||40||||||||||||||You've spoken to the Duchess, who has promised to help you hunt down Vela if you recover her daughter. ##You have met with a contact in the Rotten Coffin in Sepulchre, who has demanded a sample of your flesh. There may be no other way...||||
50|charEndless||||||FleshBrokerDone|LookingForFleshBroker|cadaverKey|cadaverKey,missingFinger||||||||||In your search for the Duchess' daughter, you've obtained a key that will unlock the upper levels of Cadaver Keep. ##The Keep is located on the northern tip of the Endless Realm.||||
60|charEndless|||||50|||cadaverKey|||||||||||In your search for the Duchess' daughter, you've arrived at Cadaver Keep on the northern tip of the Endless Realm. The key you obtained should activate an elevator somewhere - taking you to the island where the daughter is being held. ||||
65|charEndless||||||||cadaverKey|||||||||||In your search for the Duchess' daughter, you've found her severed hand on the island above Cadaver Keep - but you have not picked it up. ##You should go back and obtain the hand.||||
70|charEndless||||||||duchessDaughter|duchessDaughter||||||||||In your search for the Duchess' daughter, you were only able to recover her severed hand. ##You should return to the Duchess, in her manor on the southern edge of the Endless Realm, to tell her what you've found.||||
80|charEndless|||||||||spectralFinger|||||duchessDaughter,missingFinger|||||In recompense for your efforts, the Duchess has granted you a spectral finger. You should speak more with her, to recruit her to your cause. ||||
90|charEndless|||Yes||||LookingForDuchess|spectralFinger||||2||duchessDaughter,missingFinger|||||You have recruited The Duchess to your cause, and she has relocated to Vela's old fortress - the Blinding Light.||||
100|charEndless|||Yes|||DuchessWantsTrueDeath,NeedToReportDuchess|LookingForDuchess|spectralFinger||||2||duchessDaughter,missingFinger|||||You have recruited The Duchess to your cause, and she's relocated to Vela's old fortress; the Blinding Light. ##You convinced her that, by siding with Vela, the Endless could be granted a true death.||||
110|charEndless|||Yes|||DuchessWantsTrueImmortality,NeedToReportDuchess|LookingForDuchess|spectralFinger||||2||duchessDaughter,missingFinger|||||You have recruited The Duchess to your cause, and she's relocated to Vela's old fortress; the Blinding Light. ##You convinced her that, by siding with Vela, the Endless spell could be fixed, granting true immortality. ||||
120|charEndless|||Yes|||DuchessWantsNoChange,NeedToReportDuchess|LookingForDuchess|spectralFinger||||2||duchessDaughter,missingFinger|||||You have recruited The Duchess to your cause, and she's relocated to Vela's old fortress; the Blinding Light. ##You convinced her that, by opposing Vela, she could carve out her own future. ||||
charCaer|charCaer|FactionCult|||||||||||||||||10|The Whispers of Ghosts||||
5|charCaer||Yes|||||||||||||||||You have been visited by a ghost, who seems to have taken an interest in your plight.||||
10|charCaer||Yes||||StartedCaerQuest|||||||||||||You have been visited by a ghost who claims to have known Vela in her former life. ##She says that if you wish to understand the woman to whom your fate is bound, you should seek a [[destroyed manor]] somewhere on the [[north-eastern edge of Hallowshire]].||||
20|charCaer|||||||||||||||||||A ghost has promised to reveal Vela's motives. ##You followed her to the [[destroyed manor]] to the [[north-eastern edge of Hallowshire]]; now all that remains is to go inside. ||||
30|charCaer||||||LearnedVelaSister|||||||||||||A ghost has promised to reveal Vela's motives. ##She has asked you to meet her at  an [[Airship Cove]] on the [[western-edge of the Endless Realm]], where she will continue her tale. ||||
40|charCaer|||||||||||||||||||A ghost has promised to reveal Vela's motives. ##You followed her to the [[Airship Cove]] on the [[western-edge of the Endless Realm]]; now you should enter and hear what more she has to say. ||||
50|charCaer||||||LearnedVelaHideout|||||||||||||A ghost has promised to reveal Vela's motives. ##She has asked you to meet her at the wreckage of the [[Black Goblin Airship]] which drifts to the [[north-west of the Clockwork Kingdom]].||||
60|charCaer|||||||||||||||||||A ghost has promised to reveal Vela's motives. ##wreckage of the [[Black Goblin Airship]] which drifts to the [[north-west of the Clockwork Kingdom]]; now you should approach her on the ship's bow so she can finish her tale. ||||
70|charCaer|||Yes|||LearnedVelaMutiny|||||||||||||You were visited by a ghost who knew Vela in her former life. ##She explained to you the history of Vela and the Dark Stars, explaining that Vela is driven by the death of her sister, Isabet. ||||
highConfessor|highConfessor|QuestInq|||||||||||||||||10|An Old Friend||||
10|highConfessor||Yes||||HC_QuestStarted|HCQuest_Refused|godletDagger|godletDagger||||||||||The High Confessor has asked you to deal with a personal matter. ##There is a small house in the [[western forest of Hallowshire]], which contains a godlet. She has asked you to kill it with a special Void Scalpel. ||||
20|highConfessor||||||SpokenToCaerGodletOutside||godletDagger|godletDagger||||||||||The High Confessor has asked you to deal with a personal matter, and slay a certain godlet. ##You travelled to the small house in the [[western forest of Hallowshire]], but a ghost urged you not to carry out the deed.||||
30|highConfessor||||||KilledCaerGodlet,HCQuest_ReportBack,HC_QuestEnded||||||||godletDagger|||||You carried out a personal matter for the High Confessor by killing her godlet, much to the lamentation of the High Confessor's own ghost; Caer. ##You should return to the High Confessor in the Blinding Light.||||
35|highConfessor|||Yes||||HCQuest_ReportBack|||||2||godletDagger|||||You carried out a personal matter for the High Confessor by killing her godlet, much to the lamentation of the High Confessor's own ghost; Caer. ||||
40|highConfessor||||||SparedCaerGodlet,HCQuest_ReportBack,HC_QuestEnded,HCGodlet_ReportIgnavius||||||||godletDagger|||||The High Confessor requested that you kill a godlet, but you refused and broke its shackles instead. The High Confessor's ghost - Caer - was grateful. ##You should return to the Blinding Light. ||||
45|highConfessor|||||||HCQuest_ReportBack|||||||godletDagger|||||The High Confessor requested that you kill a godlet, but you refused and broke its shackles instead. ##The whole ordeal was a test of loyalty, which the High Confessor failed; and she has been taken away by Inquisition agents. You should speak with the ghost, Caer. ||||
50|highConfessor|||Yes|||||||||2||godletDagger|||||The High Confessor requested that you kill a godlet, but you refused and broke its shackles instead. ##The whole ordeal was a test of loyalty, which the High Confessor failed; and she has been taken away by Inquisition agents. ||||
ignaviusTea|ignaviusTea|QuestMushroom|||||||||||||||||30|Damn Fine Tea||||
10|ignaviusTea||Yes|||||||||||||||||Inquisitor Ignavius has asked you to obtain some [[Scryshroom Tea]] from the region of Pwyll. ##If you wish to indulge him, you should head to [[Pwyll Village]] and attempt to buy some. ||||
20|ignaviusTea||Yes|Yes||||||treasure|1||1|||||||You obtained some Scryshroom Tea for Inquisitor Ignavius, which he proclaimed was [[damn fine tea.]].##You suddenly have a curious desire to re-read the Dual Crags periodical story by D. Hange. ||||
thievesOne|thievesOne|EmblemLock|||||||||||||||||31|A Simple Delivery||||
10|thievesOne||Yes||||||innogenCrate|innogenCrate||||||||||A girl has given you a crate of 'Byonne Silks' and asked you to deliver it to the Wobbly Noggin. ##There should be a man named Bardolph in the small room, to the left as you enter.||||
20|thievesOne|||||10|||innogenCrate|||||||||||A girl has given you a crate of 'Byonne Silks' and asked you to deliver it to the Wobbly Noggin. ##There should be a man named Bardolph in the small room, to the left as you enter. ##On the way, a guard stopped you and asked to check the crate; but you managed to evade him.||||
30|thievesOne|||||10|innogenCargoLost||||||||innogenCrate|||||A girl has given you a crate of 'Byonne Silks' and asked you to deliver it to the Wobbly Noggin, but a guard confiscated the goods. ##You should still visit Bardolph in the Wobbly Noggin and tell him you lost the delivery.||||
40|thievesOne|||Yes|||BardolphDialogue|||||20|1||innogenCrate|||||You successfully delivered the crate of 'Byonne Silks' to Bardolph in the Wobbly Noggin. ##He said you should visit the Lost Purse sometime; just look for a suspicious skull in an abandoned Hallow building.||||
50|thievesOne|||Yes|||BardolphDialogue||||||1||innogenCrate||Outlaw|4||You told Bardolph in the Wobbly Noggin that his 'silks' were confiscated. ##He said you should visit the Lost Purse sometime; just look for a suspicious skull in an abandoned Hallow building.||||
thievesTwo|thievesTwo|EmblemLock|||||||||||||||||40|From Under His Nose||||
5|thievesTwo||Yes|||||||||||||||||You met up with Innogen at the Lost Purse. You should speak with her again when you're ready for work.||||
10|thievesTwo||Yes|||||||||||||||||Innogen in the Lost Purse has asked you to steal a valuable artefact from Vernon Berwig, of the Winged Merchants Guild. ##His house can be found on the high street, but it has a locked chamber that can only be accessed from outside the property.||||
20|thievesTwo||Yes||||||||||||||Outlaw|4||You stole an artefact from right under Vernon Berwig's nose. Innogen in the Lost Purse will be interested in this. ||||
30|thievesTwo|||Yes||||||||50|1|Yes|merchantLoot|||||You stole Vernon Berwig's artefact from right under his nose, and claimed your reward from Innogen in the Lost Purse.||||
dreamJournal|dreamJournal|book|||||||||||||||||40|Perchance to Dream||||
10|dreamJournal||Yes||||DreamJournalActive|||||||||||||You met a peculiar man, haunted by dreams. He asked you to find his lost journal. ##You should enquire further as to where it could be.||||
20|dreamJournal|||||||||||||||||||You met a peculiar man, haunted by dreams. He asked you to find his lost journal. ##He thinks it was stolen by goblins in the mountains, to the east of the nearby fortress.||||
30|dreamJournal||Yes|||||||||||||||||You found a journal filled with dreams. You should return it to its original owner. ||||
40|dreamJournal|||Yes||||DreamJournalActive||treasure|1||1|Yes|dreamersJournal|||||You returned the dream journal to its owner.||||
paeguthCargo|paeguthCargo|QuestHallow|||||||||||||||||40|The Golden Typhos||||
10|paeguthCargo||Yes|||||||||||||||||You heard the head of the Winged Merchants Guild is looking for adventurers. You should visit the house in Hallow with an airship sign.||||
20|paeguthCargo||Yes||||GoldenTyphosAccepted|||||||||||||Vernon Berwig, head of the Winged Merchants Guild, has tasked you with tracking down his lost cargo. ##You should keep a lookout for his merchant vessel, the Golden Typhos.||||
30|paeguthCargo||Yes|||||||||||||||||You boarded the Golden Typhos ship and found a peculiar artifact in its hold.##You should visit the [[Winged Merchants Guild]] in Hallow.||||
40|paeguthCargo||Yes||||GoldenTyphosReturned|||||||Yes|paeguthArtifact|||||You  returned the lost artifact to Vernon Berwig in the Winged Merchants Guild. He asked you to return in a day to collect your reward.||||
45|paeguthCargo|||||||||||||||||||You  returned the lost artifact to Vernon Berwig in the Winged Merchants Guild. He asked you to return in a day to collect your reward.||||
50|paeguthCargo|||Yes|||VernonDead||||||||||Union|4||You returned to Vernon Berwig for your reward, but he was dead - his corpse unnaturally shrivelled. The thing is clearly cursed; you should be grateful to have avoided the same fate.||||
godHunt|godHunt|FactionHallow|||||||||||||||||11|The God Hunt||||
10|godHunt||Yes|||||||||||||||||The Apostatic Union seek to purge cultists and god worshippers from the realm of Hallowshire. ##Visit the Union council building, in the centre of Hallow town, to learn more. ||||
20|godHunt||Yes|||||||||||||||||The Apostatic Union seek to purge cultists and god worshippers from the realm of Hallowshire. ##The Polymath in Hallow town has requested your aid. She suggests you enquire further in the farmlands to the northeast of Hallow.||||
30|godHunt||Yes|||||||||||||||||The Apostatic Union seek to purge cultists and god worshippers from the realm of Hallowshire. ##You have learned there is a cultist presence in an old belltower, somewhere in the Hallowshire region.||||
35|godHunt||Yes|||||||||||||||||The Apostatic Union seek to purge cultists and god worshippers from the realm of Hallowshire. ##You have learned there is a cultist presence in an old belltower, in the forest to the west of Hallowshire.||||
40|godHunt||Yes|||||||||||||||||The Apostatic Union seek to purge cultists and god worshippers from the realm of Hallowshire. ##You have discovered a cultist lair and spoken with a Fertile One. To infiltrate further, a tribute of Mushroom Wine must be given.||||
50|godHunt||Yes||||||paeguthKey|paeguthKey||||||||||The Apostatic Union seek to purge cultists and god worshippers from the realm of Hallowshire. ##You have gained the Key of Paeguth. It unlocks a cave beneath Hallow Castle, in the east of Hallowshire||||
60|godHunt||||||||paeguthAspect|paeguthAspect||||||||||You have spoken with the god Paeguth, who has given you an aspect of itself.##If you wish to help Paeguth, place this aspect at the highest point in the Union's council building in Hallow. ##Alternatively, hand the aspect over to the Union's Polymath to help them defeat the god.||||
70|godHunt|||Yes|||godHuntUnion|||passport,unionCharm||20|2|Yes|paeguthAspect||Union,Wikkan|10,-5||You helped the Apostatic Union to defeat the god Paeguth, by obtaining an aspect of the god.## The Union should have no trouble stamping out god worship in the region - though whether this will end the famine, remains to be seen.||||
80|godHunt||||||godHuntCult||||||||paeguthAspect|||||You concealed the aspect of Paeguth in Hallow. It will bestow a curse on those nearby, allowing the cult of Paeguth to operate unhindered.## You should seek out Paeguth, who may wish to reward you. You feel a dread presence; they are close to you, right now.||||
85|godHunt|||Yes||80||||paeguthParasite|2||2||paeguthAspect||Union,Wikkan|-5,10||You concealed the aspect of Paeguth in Hallow. It will bestow a curse on those nearby, allowing the cult of Paeguth to operate unhindered. ##The famine will be brought to an end, but at a cost: those who benefit from Paeguth often bear terrible mutations... ||||
castle|castle|QuestHallow|||||||||||||||||40|A Castle, Cursed||||
10|castle||Yes|||||||||||||||||In the shadow of Hallowshire's castle, you met a frightened peasant. They acted strangely and warned you of the place. Something is clearly amiss.||||
20|castle||Yes|||||||||||||||||You've heard that a Wikkan priest hides somewhere in Hallowshire's castle keep, and could have something to do with the castle's downfall.||||
30|castle||Yes|||||||||||||||||You spoke to the Wikkan priest in Hallowshire's castle keep. ##He revealed that a curse afflicts the castle; only a sacrifice can present it. There is a sacrificial poison in a secret room, behind a painting.||||
40|castle||Yes|||||||||||||||||You obtained a sacrificial poison from the secret room in Hallowshire's castle. ##This might be the key to solving the castle's curse; perhaps the nearby Wikkan priest knows what to do with it.||||
