NPC Name:|Endless||||
DrinkerP6|That's not true. The Inquisition is doing its best over there.||||
Drinker12|<<They look perturbed by your stance, and hide it badly.>>##Oh aye? That's most interestin'...||||
Drinker13|My, but would you look at the time? Sorry pal, I'm s'posed to be meetin' someone here.||||
DrinkerRepA|The Inquisition's sittin' on a great stockpile of food, but hangin' anyone in [[Hallowshire]] who talks about it.##Bloody power-hungry sods, they are!||||
DrinkerRepB|...Sorry pal, I'm s'posed to be meetin' someone here.||||
ChessA1|<<This Machinist is leaning back in their seat, drumming their fingers on their teacup with an amused expression.>>||||
ChessA2|My opponent's knowledge of this game is undoubtedly superior. There's no move I can possibly make that they will not anticipate.||||
ChessA3|However, I know something my opponent does not:##I'm cheating.||||
ChessB1|<<This Machinist's face betrays no emotion as they study the board intensely.>>||||
ChessB2|My opponent knows I have pondered every strategy ever played by man or god.||||
ChessB3|What they don't know is that my tea is dosed with an amnesia potion of my own recipe.||||
ChessB4|They are wholly unprepared to face a lunatic!||||
Dmitri1|So I heard this story, right? A man and a woman, lovers they were, like two seeds in a pod.##You couldn't pry 'em apart with a crowbar. Lived in Ferropolis, though I can't say where they are now.||||
Dmitri2|Well, one night these two had an awful fight, and went back to their own families for a while.##Both of 'em prayed to the King to make them forget the other.||||
Dmitri3|And d'you know what? The King answered.||||
Dmitri4|Granted their prayers, didn't it? The next morning, they both woke up with no memory of ever meeting. And they went on like this for years, searching for someone new, never quite finding the right one.||||
Dmitri5|Then one day, they met again – in this very teahouse. And even though they didn't recognise each other, they were drawn together irresistibly.||||
Dmitri6|They got married and had eighteen kids, or so I heard. Their love was so strong that not even the King could keep 'em apart.##They both got their memories back eventually, and swore never to make the same mistake again.||||
Dmitri7|<<They glance to each side, as if someone is watching them.>>##... it's only a story, mate.||||
DmitriP1|What did the King do?||||
DmitriP2|I'm afraid I don't have time for stories.||||
DmitriP3|So how did it end?||||
DmitriP4|I've heard enough, thanks.||||
DmitriP5|Can the King actually do that?||||
DmitriP6|Thanks for the story.||||
Skeptic1|You heard Dmitri's story? He's full of shit.##If my husband forgot who I was, you wouldn't catch me dead reminding him.||||
Skeptic2|You heard Dmitri's story yet?||||
Xenia1|<<This stout woman has a maternal air and a voice full of pebbles. A hand-rolled cigarette droops from her mouth.>>||||
Xenia2|King's favour, pet. Welcome to the [[Squeaky Wheel Teahouse]]. What can ol' [[Baba Xenia]] do for ye?||||
Xenia2Rep|<<Xenia takes a drag on her cigarette.>> What else can I do for ye, pet?||||
Xenia3|<<Xenia takes her cigarette out of her mouth and examines you dubiously.>>##A room? Afraid I'll need to see your bunkin' permit.||||
Xenia4|<<She cracks a grin.>>##Just a wee joke, pet.||||
Xenia5|The skyward suite's yours for [[5 coins]], if ye don't mind sleepin' there.||||
Xenia6|<<Xenia stubs out her cigarette and begins rolling another.>>##Right ye are, pet. The room's upstairs on the other end of a long metal gantry. It's the one that's floatin' in mid-air, like.||||
Xenia7|We don't call it the skyward suite for nothin', pet. Only the blessed magic o' the [[Clockwork King]] keeps it off the ground.##Some outsiders don't trust it.||||
Xenia8|Would ye now? Mind, if ye want alcohol, it'll be a mite costlier than ye're used to.##The King's no' too fond of it, so most people just take tea or [[bottled visions]] instead. ((Now if ye're sellin', I can give ye a good price...))||||
Xenia9|Still want a drink, pet?||||
Xenia10|The Kingdom's premier export, so I'm told. A real dream or fantasy, tapped an' corked for the buyer's pleasure. But if that's yer tipple, ye'd best find a licenced vision trader. <<You sense disapproval in Xenia's voice.>>||||
Xenia11|Not that I'm judgin', mind. It's perfectly legal here, and I ken why it's so popular. Just not ol' Baba Xenia's personal cup of tea. Besides, I can't be arsed with the extra permits.||||
Xenia12|<<Xenia blows a plume of smoke.>> Not from around here, are ye, pet? ##Don't fret. Nearly everyone in the Kingdom came here from somewhere else.||||
Xenia12Rep|<<Smoke billows from Xenia's nose.>> More questions, pet?||||
Xenia13|Snow, mostly...##[[The King]] – blessed be its name – controls our seasons, see? Used to give us nice long springs and summers. But this winter was scheduled to end months ago, and it's havok on our farmers.||||
Xenia13Alt|Seems this winter is finally coming to a close.##Months behind The King's own schedule, mind you. It will take a long time for the farmers recover. Not that I'm complaining.||||
Xenia14|I'm sure Its Majesty must have some plan in mind, though.||||
Xenia15|And don't believe what you hear about the stockpiles running dry! Guild says it's just a rumour spread by the Saboteur, meant to make us all panic.||||
Xenia16|Some folk think we should reopen the Hallowshire border, but I dunno. The Apostatic Union's got it in for us. If ye ask me, it's no coincidence they started makin' trouble right after we arrived.||||
Xenia17|Aye, we don't get too many outsiders these days...##<<Xenia draws on her cigarette.>>||||
Xenia18|Oh no, pet. We sailed here ten or fifteen year ago now, seekin' trade with Hallowshire. That was grand, 'til the Union started movin' more troops into Hallowshire too.||||
Xenia19|<<Xenia checks no one is eavesdropping, then casually leans closer.>>##When I was a lass we called this island [[Kardova]]. A muddy wee Wikkan fiefdom, it was, bound to an old mother god whose name... <<(she glances around)>> is no' important.||||
Xenia20|Wasn't all bad, mind. I remember Ma takin' me to a Wikkan wise woman when I got pregnant and didn't want it.##But that fickle old god asked a heavy price to see us through each winter. Good riddance, says I.||||
Xenia21|Oh, they flocked from all over to help us build the King. Slev, Lundel, Byonne, Venna – even Puria, or further. Lots of 'em fought for the Union in the God War, but didn't like where it was headin'.||||
Xenia22|Now old-school Kardovans like meself are almost a minority. Not that I'm complainin', mind. We get the brightest brains in all the Sky Realms hobnobbing in here.##That lah-de-dah Erudite Academy's got nothin' on the Squeaky Wheel!||||
Xenia23|This city's nearly as tall as it is wide. The higher ye go, the richer it gets, see? Some say it's dangerous below, in the Conduits, but that's shite. Good bargains down there if ye ken where to look.||||
Xenia24|Those big metal kiosks ye'll see folk queuing for are royal [[summoning stations.]]##That's how we townsfolk get our daily bread – straight from the King, may its gears turn evermore.||||
Xenia25|The Machinists' Guild has a sayin': 'the squeaky wheel gets the grease'. To me it means good things go to whoever asks loudest, not always who needs 'em most.||||
Xenia26|Me late wife saw it differently. She said it was a motto: if ye want good things, ye've got to make noise. <<Xenia shrugs.>> We never did settle that argument.||||
Xenia27|<<Xenia's expression of genial indifference suddenly seems fixed in place. She busies herself cleaning a glass with expert nonchalance.>> ##Are they now? Can't say I'd noticed. Maybe that's me own memory goin' funny, eh?||||
Xenia28|%% <<Xenia blinks, then checks for eavesdroppers and leans in close.>> ...aye, maybe. Maybe folk ((are)) a bit absent-minded lately. Can ye blame 'em? Tough times like these will do that to a mind.||||
Xenia29|Thing is, it's gettin' worse. I tried to keep a diary what I'd forgotten, but it just made me feel pure bonkers. It must be the Corruption – wormin' into our heads, twistin' things.||||
Xenia30|How do ye even talk about somethin' like that? How do ye ken something's wrong when ye can't remember how it was before? Those folks who ((do)) try to discuss it tend to get ((extra)) forgetful soon after.||||
Xenia31|<<She sighs.>> Listen, pet. Maybe don't stay in this land any longer than ye need to, eh? I'm sure there's folks back home who'll be missin' ye.||||
Xenia32|&& <<Xenia stops cleaning. The teahouse is suddenly silent. She sets the glass down and takes her cigarette out of her mouth.>> ##Now see here, ((pal)).||||
Xenia33|Baba Xenia won't have anyone sullyin' the name o' her late wife's teahouse with nonsense and scuttlebutt. Let alone some ((outsider)) talkin' shite about shite they don't know shite about.||||
Xenia34|That kind o' claptrap helps one person: the Saboteur.##<<You hear murmurs of assent around the room.>>||||
Xenia35|I think we understand each other now, don't we pet?##<<Xenia smiles again.>>||||
Xenia36|<<Xenia nods, shedding ash from the end of her cigarette.>> King's blessin', pet.||||
Xenia37|Oh aye, it's been all over the Dispatch. That radge lady captain – Velma, was it? Viola? – is makin' all kinds of trouble for the Union. Good for her, I say.||||
Xenia38|Mind, if ye're lookin' for Dark Star sorts round ((here)), I'll have to disappoint ye. Although there was that adventurer fella who went over to their side, ten or fifteen year ago now...||||
Xenia39|[[Frost]], that was it. [[Caxton Frost]].##Used to be a hero of the Kingdom. In the end, his own crewmates chibbed him dead in some kinda mutiny. Made the front page of that week's Dispatch. Lotta folk thought he got what he deserved.||||
Xenia40|<<She puffs on her cigarette.>>##I think it's a shame. Shame such a talented fella felt he'd be better off with a bunch of skyfarin' reprobates than here in the Kingdom.||||
Xenia41|Still, play stupid games an' ye'll get stupid prizes.||||
XeniaP1|Do you have any rooms for rent?||||
XeniaP2|I'll take it.||||
XeniaP3|Why wouldn't I want to sleep there?||||
XeniaP4|I've decided to give it a miss, thanks.||||
XeniaP5|I'm all right for now, thanks.||||
XeniaP6|Something to drink, please.||||
XeniaP7|Tell me about bottled visions.||||
XeniaP8|I'd like something to drink.||||
XeniaP9|Let's see what you've got.||||
XeniaP10|Actually, never mind.||||
XeniaP11|Can I ask you some questions?||||
XeniaP12|Nothing for now, thanks.||||
XeniaP13|What's new in the Clockwork Kingdom?||||
XeniaP14|So this island wasn't always part of the Oneiric Isles?||||
XeniaP15|You said lots of people used to come here. Why?||||
XeniaP16|Let's discuss another matter.||||
XeniaP17|What can I do in Ferropolis?||||
XeniaP18|Is it just me, or are a lot of people here having memory problems?||||
XeniaP19|@@ Xenia, I already know something weird is happening. It's obvious you know something too.||||
XeniaP20|...I understand perfectly.||||
XeniaP21|I'll just be leaving now.||||
XeniaP22|Sure, that must be it.||||
XeniaP23|Let's discuss something else.||||
XeniaP24|Why is this place called the Squeaky Wheel, anyway?||||
XeniaP25|Do you know anything about a Dark Star mercenary?||||
XeniaP26|Do YOU think he deserved it?||||
XeniaP27|Well, thanks for the tale.||||
Doyle1|<<The other patrons are giving this woman a wide berth, as if she carries a contagious disease.>>##What are you staring at? Waiting to see if I grow an extra head?||||
Doyle2|Is that all?##No offense, but I might be dead soon, and I don't wanna spend my last hours with you.||||
DoyleP1|Is the tea here really that bad?||||
Doyle3|<<She laughs, then doubles over as it becomes a heavy cough.>>##Almost. But this stuff tastes like heaven after seeing what I've seen.||||
DoyleP2|What have you seen?||||
DoyleP2B|I'm intrigued. Tell me about yourself.||||
DoyleP3|I'll leave you alone.||||
DoyleP4|I'd pay to see that.||||
Doyle4|<<She scowls, then doubles over and coughs heavily.>>##Keep your money, ponce. The Kingdom pays me well. Not well enough to see what I've seen, though.||||
DoyleP5|Sorry, I'll leave you alone.||||
Doyle5|<<She coughs again, and drinks deeply from her mug.>>##Name's [[Doyle]]. I'm a royal [[cleanup worker]]. You know, fighting the [[Corruption]]? A hero of the Kingdom, they call me. More medals than you've had hot dinners.||||
Doyle6|And what's my reward? Children hide or stare at me wherever I go. Shopkeepers wipe down every surface I touch. When I'm done here, the landlady will bury my mug – so that I don't ((contaminate)) any other patrons.||||
Doyle7|<<She glares up at you.>>##So, what? Your friends dare you to talk to me? Come to stammer some shite about how grateful you are for my service? Or are you just tired of being human?||||
DoyleP6|Honestly, I don't know much. I'm new here.||||
DoyleP6B|Keep patronizing me and I'll kick your ass.||||
Doyle8|<<She cough-laughs again.>>##Well, take my advice: if you ever get drafted into a cleanup crew, jump off a bridge so both your legs get broken.||||
DoyleP7|I'm not afraid. I was just curious.||||
Doyle9|<<She cough-laughs again.>>##Not afraid of the Corruption, huh? Well, take my advice: you should be.||||
Doyle10|Two more weeks of leave, then I'm back to the Corrupted Land. Damn the King, but it's never enough.||||
DoylePQ1|Actually, I'd like to ask you some questions.||||
DoylePQ2|Tell me again about yourself.||||
Doyle11|<<Doyle snorts.>> And I'd like a ride out of here on a magic carpet. So what?||||
Doyle11B|Now scram, will you? Or else I'll start wishing I was back in the Corrupted Lands already.||||
DoyleP8|Did I really hear you curse the King earlier?||||
Doyle12|<<She gives you a hollow smile.>> Let them execute me. From where I sit, that looks like a promotion. ##You'd be surprised what I can get away with, newbie. Not many folk can do my job.||||
DoyleP9|Is that a threat?||||
Doyle13|<<She shrugs, taking a sip of her tea.>> Just an observation.||||
DoyleP10|I'll bear that in mind.||||
DoyleP11|How worried should I really be about sitting with you?||||
Doyle14|<<She eyes you appraisingly.>>##We have procedures. One week's quarantine before re-entering Ferropolis. Three rounds of purifying rituals. All our clothes incinerated each month.||||
Doyle15|But this is Corruption we're talking about. It never stays still. So I guess it depends how much you trust in the wisdom of the Machinists' Guild.||||
DoyleP12|How would someone get into the Corrupted Lands?||||
Doyle16|<<She sets down her mug with a clunk and gazes at you.>>##Are you taking the piss? Is that what you came to my table for? Think it's all a lark, do you? One big ((adventure))?||||
DoyleP13|@@ Not at all. I may need to go there, and I take your expertise very seriously||||
Doyle17|%% <<She narrows her eyes.>>##Yeah? Well... damn right. ##Officially the Corrupted Lands are strictly forbidden. Unofficially, we couldn't give a boiling piss about stopping suicidal tourists.||||
Doyle18|Most folks don't make it across the ravine southeast of here. But I've seen an old abandoned [[digging engine]] still lying around. If you had a [[Machinist insignia]], or a good head for tinkering, I reckon you could make your own bridge.||||
Doyle19|'Course, you could always sign up for a life of excitement with us.##<<She grins.>>||||
Doyle20|&& <<She narrows her eyes.>>##You know, there's a lot of treasures in the Corrupted Lands. Abandoned towns, empty houses. Some folk think to try their luck. They have no idea what they're dealing with.||||
DoyleP14|Forget I said anything.||||
DoyleP15|I'll leave you alone now.||||
MachStu1|I'm an Interpreter. We study the King's commands and proclamations to understand its true wishes.||||
MachStu1alt|Do you need something more? I have ((quite)) a lot of reading to get through.||||
MachStu2|Do you need something? I have ((quite)) a lot of reading to get through.||||
MachStu3|Oh, you know her?||||
MachStu4|Aphra's not bad, as bosses go. Very passionate. Works late. A lot of her ideas get blocked by [[Sunil]], but she has our back when other departments try to push us around.||||
MachStu5|Wait, that was ((you?)) <<They grab a parchment to take notes.>> ##What did Its Majesty say? Don't leave out any details – what may seem irrelevant to you is as gold to us!||||
MachStu6|The Sacramental Duty...? Huh. That's new. Or maybe it's a legacy component from one of the old political tracts that we consulted to build the King. ##Was there no further detail?||||
MachStu7|Ha, of course. You really need a [[Cranial Moderator]] to even read most of its output. Even then, Its Majesty can be a little – well, cryptic.||||
MachStu8|A magical clockwork device grafted onto your brain. See my mechanical eye? It lets me read the King's Sixfold cipher language as easily as a cheap ballad. Unfortunately Its Majesty's mysteries go deeper than mere language.||||
MachStu9|Well... you could take the Guild entrance exams, score in the top sixth, pass a political audit, undergo three years of training, and swear a magically binding loyalty oath. Otherwise, I'm not sure.||||
MachStu10|Maybe [[Chief Interpreter Aphra]] could help, but we Interpreters aren't really supposed to talk with outsiders.||||
MachStu11|<<They look worried.>>## Sunil? As in, the King's Speaker...? Of course, of course, I apologize. Forget I asked.||||
MachStu12|Sorry, citizen, this isn't a good time. The King has just appointed a new Chief Interpreter, and we're all scrambling to get in his good books. Apparently he's convinced our whole department is riddled with disloyalty...||||
MachStu13|It's strange, though. I can't seem to remember who the last Chief Interpreter ((was)). I suppose they must have been a forgettable sort of person.||||
MachStuDebug1|<<This Machinist looks completely terrified.>> ##Wait, you're saying ((I)) have a debug mode? Surely there must be some mistake – I'm just an incidental NPC1||||
MachStuDebug2|Of course! I'll get it done right away! Top priority! ##Er, is there anything else?||||
MachStuDebug3|<<They seem to relax.>> Oh, thank the King. I won't remember any of this, right?||||
MachStuP1|So you work for Chief Interpreter Aphra?||||
MachStuP2|I actually had an audience with the King myself.||||
MachStuP3|It told me to perform the 'Sacramental Duty', whatever that is.||||
MachStuP4|Only a bunch of weird symbols.||||
MachStuP5|I think so, but I couldn't read it.||||
MachStuP6|What's a Cranial Moderator?||||
MachStuP7|Where would I get one?||||
MachStuP8|Thanks, I suppose.||||
MachStuP9|I don't think Sunil would want me to discuss it.||||
MachHau1|I'm a Commitologist. We draft the petitions the Guild sends to the King and make sure they're in the correct cipher language.||||
MachHau2|Now, may I please get back to work?||||
MachHau3|Requests for action. You know – production orders, rule changes, alteration requests. We can't tell Its Majesty what to do, but we can ask. Sometimes it listens.||||
MachHau4|Oh, anything. The wrong verb here, and we get a skating rink instead of a farm. A misplaced comma there, and the wrong house vanishes.||||
MachHau5|More importantly, I could lose out on Guild commendations for this year.||||
MachHau6|<<They give you a queer look.>>## I'm no good at talking to layfolk. Besides, individual testimony is invariably clouded by partiality or bias. Most people can't see the big picture like we can.||||
MachHau7|Thanks.##<<They do not look enthusiastic.>>||||
MachHauP1|What is a 'petition', exactly?||||
MachHauP2|What happens if the language isn't correct?||||
MachHauP3|Do you ever consult with the people your petitions affect?||||
MachHauP4|What a tragedy that would be.||||
MachHauP5|Sounds important. Best of luck.||||
MachBru1|Can't you see I'm busy? Sunil wants this next petition locked down by the next starbright so he can check it over first.||||
MachBru2|Oh, ((I'm)) perfectly on schedule. But we're still waiting on the bloody Summoners. Less than a day to go before final commit and ((they're)) not even in rune lock. Amateurs.||||
MachBruP1|How's it going?||||
MachBruP2|I'll leave you alone.||||
MachAnx1|<<This Machinist jumps when you disturb them.>>##Oh! It's only you again. That bastard Commitologist is still on the prowl for me...||||
MachAnx2|<<This Machinist jumps when you disturb them.>>##Aaaagh!||||
MachAnx3|YAAAAaagh!!||||
MachAnx4|<<They shudder but catch themself.>>##All right! King's toenails, no more, no more! Let's both... take a deep breath... and calm down.||||
MachAnx5|<<They inhale deeply.>> Please. King's toenails, I'm jittery today...||||
MachAnx6|King's toenails, I ((told)) you not to creep up on me like... ##<<They examine you.>> Wait, you're not a Machinist.||||
MachAnx7|I thought you were one of the Commitologists. That bastard's been stalking me all day, trying to hurry my work. I'm working as fast as I can!||||
MachAnx8|I'm a Summoner. We maintain the cipher spells that transport goods throughout the Kingdom – from farm to stockpile to summoning station, or back again.||||
MachAnx9|Any further queries?||||
MachAnx10|It's quite simple. Simply approach the machine, visualise what you want, and press 'use'. If you don't receive the right thing, you probably didn't visualise it correctly.||||
MachAnx11|These spells are invoked thousands of times per day. One small mistake in this room will ripple across the Kingdom. Now do you see why it can't be rushed?||||
MachAnx12|<<They shrug.>>##I leave that to the philosophers. We're busy changing the world.||||
MachAnx13|If anyone asks about me, tell them I'm with the King's Speaker. In a ((private)) meeting.||||
MachAnxP1|Can you tell me about your work again?||||
MachAnxP2|I'll disturb you no further.||||
MachAnxP3|Aaaaaaagh!||||
MachAnxP4|AAAAAAAGH!!!||||
MachAnxP5|I'm sorry. Let's start again.||||
MachAnxP6|Boo.||||
MachAnxP7|Sorry to startle you. Everything all right?||||
MachAnxP8|What's the delay?||||
MachAnxP9|How do I use a summoning station?||||
MachAnxP10|That sounds very complicated.||||
MachAnxP11|Maybe you shouldn't have that power.||||
MachAnxP12|I see what you mean.||||
MachHell1|Don't talk to me. I'm in hell. Without a doubt, this is hell.||||
MachHell2|Aye, this is hell.||||
MachHell3|<<They give you a withering look.>>##I'm in ((cipher)) hell, you swine. Charm hell. Invocation hell. Contagion hell. Transposition hell. You name the hell, I'm in it.||||
MachHell4|<<They sigh.>>##My only surmise is that the last Machinist to work on this spell made a dread bargain with some foul power: my soul for their freedom.||||
MachHell5|Now I'm stuck with the mess they left behind, and none of it makes sense. It's like trying to untangle a ball of string when your only tool is another piece of string. Or a wet noodle.||||
MachHell6|I don't know, can you re-conjugate a 274-line cipher charm for a low-contagion runeset while maintaining echoconsonance with a legacy canon written by a lazy moron who never took notes?||||
MachHell7|Then bog off and leave me to my torment.||||
MachHell8|Oh, go and boil your head.||||
MachHellP1|I thought we were in Ferropolis.||||
MachHellP2|What in hell does that mean?||||
MachHellP3|Forget I asked.||||
MachHellP4|Anything I can do to help?||||
MachHellP5|No.||||
MachHellP6|<<[Lie]>> Yes.||||
MachHellP7|Sorry to hear that. Farewell.||||
PeasEnt1|<<This dishevelled citizen is muttering to themself as they rake through the mud and muck underneath the town.>>||||
PeasEnt2|<<They startle.>> Oh, 'allo mate. Don't mind me, I'm jus' scratchin' out a living'. ##You'd be surprised what flushes down 'ere from those cosy folks in Ferropolis. Some may call it junk, but me? I calls it treasure.||||
PeasEnt3|<<They shoot you a withering look.>> Don't be stupid. It's bloody ((junk)).##I just say that so townie sorts'll give me the time of day. Everyone likes to see a peasant with ((enterprise)).||||
PeasEntP1|Hello there.||||
PeasEntP2|Do you actually call it treasure?||||
PeasEntP3|Good hunting to you.||||
PeasEntP4|<<[Leave them alone]>>||||
CleanA1|Welcome to the end of the world, citizen. The food's terrible, but you can't beat the view.||||
CleanA2|The last outpost of normal reality. Or at least – ##<<Their words are drowned out by a deafening metallic voice from the main building.>>||||
CleanA3|Yep. The last outpost of normal reality. Or at least – ##<<Their words are drowned out by a deafening metallic voice from the main building.>>||||
CleanA4|"<<"CLEANUP WORKER FLOREZ, REPORT TO MY OFFICE. REPEAT, FLOREZ TO MY OFFICE. HUANG OUT.">> ##...normal for us, anyway."||||
CleanA5|I've got to go. If you need something, ask someone else.||||
CleanAP1|What is this place, exactly?||||
CleanAP2|Is this the cleanup camp?||||
CleanAP3|Thanks, I think.||||
CleanB|Scrape your damned boots, will you? The mud here can chew through wrought iron.||||
CleanC|<<This cleanup worker is tearing hungrily at a hunk of black bread like a rabid dog. They do not respond except to make an obscene gesture at you.>>||||
CleanD1|You might not wanna go upstairs, mate. The chief's in an awful mood... ##<<They glance up suddenly as a metallic voice booms from above.>>||||
CleanD2|"<<"ATTENTION ALL HANDS. ROLL CALL IN 36 MINUTES. REPEAT, 36 MINUTES. NO DAWDLING THIS TIME! HUANG OUT.">> ##...then again, ain't he always...?"||||
CleanD3|You might not wanna go upstairs, mate. The chief's in an awful mood...||||
CleanAssay1|<<This cleanup worker is carrying a strange apparatus at their side.>> ##Whoah there, pal. No one sees the chief without a check-over. Open your mouth, please.||||
CleanAssay2|Back again, are we? Well, let's see how lucky you've been. You know the drill... ##<<They waggle their probe cheerfully at you.>>||||
CleanAssay3|Well, well, if it ain't the curse-dodger in the flesh! Chief not gotten tired of you yet? Or have you come back just to see me?||||
CleanAssay4|You've been outside. What do you think?||||
CleanAssay5|<<They poke a long thin probe inside your mouth, then wave it all up and down your body. The connected apparatus emits little chirps and warbles.>> ##All right, you're clean. For now.||||
CleanAssay6|You're clean. For now.##Go on ahead.||||
CleanAssayP1|Ugh, if you say so...||||
CleanAssayP2|How nice to see you again.||||
CleanAssayP3|We really must stop meeting like this.||||
CleanAssayP4|Is this truly necessary?||||
CleanAssayP5|You make a fair point.||||
CleanAssayP6|I don't think I need to see the chief after all.||||
CleanMiscA|<<Their voice is metallic and distorted through their helmet.>> ##Anyone or anything could be Corrupted out here. So you better keep your distance, tourist.||||
CleanMiscB|<<Their distorted voice clangs from inside their helmet.>> ##Wandering in the Corrupted Lands? Sure hope you've made out your will.||||
CleanMiscC|<<The cleanup worker's faceless helmet regards you silently. For a wild moment, you wonder if there's even a person in there.>>||||
CleanMiscD|<<A metallic sigh issues from within their helmet.>> ##Reality ain't what it used to be around here.||||
CleanMiscE|<<Their panicked voice is metallic and distorted through their helmet..>> ##Oh no no no ((no)), you can't fool me. I know what you are. You stay back, you hear? ((All)) of you, stay back!||||
CleanMiscF|<<The cleanup worker mutters to themselves, as if you're not even there.>> Be a hero, they said. Save the Kingdom, they said. And you had to go and listen, didn't you?||||
CleanMiscG|<<Their voice is metallic and distorted through their helmet.>> ##Don't try anything funny or you're toast. And I mean the blackened, charcoally kind.||||
CleanMiscH|<<They give you a rough whack on the shoulder, perhaps intended as a companionable pat.>> ##Don't worry, pal. If you're here without protection, you're already dead.||||
CleanBurnA|<<Even through their helmet, you can hear the panic in their voice.>> ##I'm telling you. I knew that face. I know it's impossible but I ((knew)) that face.||||
CleanBurnB|<<The cleanup worker speaks tenderly to their crewmate>> ##Easy, lad, easy. It's just a trick of the mind. First month jitters, we all get 'em.||||
CleanBurnC|<<Their voice comes through harsh and commanding through their helmet.>> ##Gawked enough, have you? Had your fill? If you'd any respect you'd piss off right back to Ferropolis.||||
Huang1|<<You see a scarred man with several days' stubble, chewing an unlit cigar as he scans over a map. He curses and leans over to a trumpet-like apparatus sprouting from the wall.>>||||
Huang2|Attention reserve shift. Zeta patrol is late. I want a relief party ready in 36 minutes. Huang out.##<<As he speaks, you can faintly hear his magically amplified words booming across the camp outside the window.>>||||
Huang3|<<He turns to you with a scowl.>>##What's this now? A tourist? Afraid we'll have to skip the grand tour. Or are you gonna tell me you took a wrong turn?||||
Huang4|Are ye now? Well, lucky us. Forgive me if I don't genuflect. My knee's pure buggered from all the times I nearly died cleaning up after you geniuses.||||
Huang5|<<He snorts.>> You're a wee bit off course. I s'pose ye've never even heard of all the 'treasures' in the Corrupted Lands?||||
Huang6|<<He eyes you dubiously.>> Are ye now? I've got bad news. If your friend ended up in the Corrupted Lands, odds are there's not much left of 'em.||||
Huang7|Let's get one thing straight, sunshine. I'm [[Cleanup Leader Huang]], and this is my cleanup camp. That means every cunt here follows my rules and obeys my orders, no matter what some shite-for-brains tinker from Ferropolis says. Clear?||||
Huang8|<<Cleanup Leader Huang looks up from his maps with a scowl, cigar perched in his mouth.>> ##Talk fast or get out, sunshine. The Corruption waits for no one.||||
Huang9|Now, why the hell are you in my office?||||
Huang10|Wonderful. Now, why are you still in my office?||||
Huang11|Y'know, every day I sit here thinking: 'See if only some daft cunt would waltz into my office and start asking pointless questions, that'd just make my day.'||||
